"","SampleID","Apicomplexa","Apusomonadidae","Centroheliozoa","Cercozoa","Chlorophyta","Ciliophora","Conosa","Cryptophyta","Dinoflagellata","Discoba","Haptophyta","Hilomonadea","Lobosa","Metamonada","Ochrophyta","Opalozoa","Picozoa","Pseudofungi","Radiolaria","Rhodophyta","Sagenista","Streptophyta","Telonemia","Unclassified Eukaryota"
"1","20ppt3C_1",1.54936669636286e-05,0,0,0.0132703257543479,0.0147654646163381,0.00118526552271759,0,0.0505558353023202,0.0143781229422474,0,0.0181120966804819,0,0,0,0.820993918735717,0.000193670837045358,0.00138668319324476,0.00825812449161405,0,0.00180501220126273,1.54936669636286e-05,0,0.00055777201069063,0.0545067203780455
"2","20ppt3C_2",3.50947998280355e-05,0,0,0.0157487914228309,0.0143186783298385,0.00186002439088588,0,0.0509050071505655,0.0106775928476798,0,0.00825605165954535,0,0,0,0.832615352220185,8.77369995700887e-05,0.00153539749247655,0.00658027496775665,0,0.00204427208998307,0,0,0.000491327197592497,0.0548443984312625
"3","20ppt3C_3",0,0,0,0.00929824660029345,0.00610513652232085,0.0139136398644053,0,0.0240888674016067,0.0215366280082976,5.62167267248697e-06,0.0467554516170741,0,0,5.62167267248697e-06,0.818369377624618,0.000477842177161393,0.00120303795191221,0.0225091773806378,0,0.00110184784380745,0.000309191996986783,0,0.00508761376860071,0.0292326978969323
"4","35ppt0C_1",0,0,0,0.00605480471925306,0.00673093724122737,0.0140620370581398,0,0.0258829607007468,0.021415927858939,9.87609301760224e-05,0.0454224308863414,0,9.87609301760224e-05,0,0.829098008827708,0.00074450547363463,0.0009496243286156,0.0191596204541483,0,0.0010711762426784,8.35669409181728e-05,0,0.0046873456860466,0.0244395317212511
"5","35ppt0C_2",1.92315089041886e-05,0,0,0.00792979217149378,0.00741695193404875,0.0103657832993577,6.41050296806287e-06,0.0292383040373348,0.0272959216380117,0,0.0713809505493801,0,4.48735207764401e-05,0,0.784735310332449,0.00117312204315551,0.00150646819749478,0.0262125466364091,0,0.00105132248676231,0.000429503698860213,0,0.00753234098747388,0.0236611664551201
"6","35ppt0C_3",0,0,0,0.0136571236192013,0.0142859865207366,0.00145464246920795,0,0.0499279030915917,0.0149084972717514,0.00010163440832894,0.0196535537106087,0,0,0,0.819446473603639,0.00015245161249341,0.00163250268378359,0.00814980911787686,0,0.00193740590877041,0,0,0.000558989245809169,0.0541330267362015
"7","50ppt-3C_1",0.000447478051516698,1.89075233035225e-05,0,0.00991384471881362,0.00952939174497533,0.023243648647797,0,0.0232562536633326,0.0371595857991895,0.000170167709731702,0.0678527986285743,0,0,0.000258402818481474,0.789401702937599,0.00589914727069901,0.00167016455847782,0.00715964882426718,0,0.000850838548658511,0.000119747647588976,0,0.00297478366642087,0.020073487240573
"8","50ppt-3C_2",0,0,0,0.00915486637070995,0.0198286396807534,0.00124274204127284,0,0.0676604000248548,0.01266216057608,0,0.0312894829502696,0,0,0,0.786538342044034,0.000186411306190927,0.00230597689880628,0.0138703820050952,0,0.00100109775546979,6.9041224515158e-06,0,0.000593754530830359,0.0536588396931808
"9","50ppt-3C_3",1.39437925721417e-05,0,0,0.0110713713022805,0.0104648163253923,0.00775274867011078,0,0.0262003862430542,0.0359122377695509,6.27470665746376e-05,0.0391193100611435,0,0,0.000104578444291063,0.835609657470735,0.00207762509324911,0.00154776097550773,0.00377179589076433,0,0.000955149791191706,4.18313777164251e-05,0,0.00237044473726409,0.0229235949886009
"10","Ev32Core_A",0.000107808409055906,0.000292622824580317,0,0.0510087786847374,0.00771600184814416,0.00634529493300477,0,0.0315724626520869,0.222501155090097,0.00257200061604805,0.0068381333744032,0,0,0.000261820421992915,0.626767287848452,0.00101647928538426,0.000723856460803943,0.00572924688125674,0,0.00115509009702757,0.00158632373325119,0,0.00100107808409056,0.0328045587555829
"11","Ev32Core_B",0.00053134962805526,9.46239063660053e-05,0,0.0625973534421266,0.0156638958845879,0.0536371973854687,0,0.0413870408920851,0.12891415428064,0.000756991250928042,0.0289767516340821,0,0,0.000545907152111569,0.586471692894473,0.0173744049612042,0.0038504651128936,0.0154455330237433,0,0.00225641622872782,0.000422168197632947,2.18362860844628e-05,0.00644898315694467,0.0346032346818453
"12","Ev32Core_C",0.000433882260132137,0.000677119284751668,6.57397363836571e-05,0.148755875488939,0.00777043684054827,0.0227656707096605,1.31479472767314e-05,0.0118594484436117,0.174867698780528,0.00302402787364823,0.0499030338888341,0,3.28698681918285e-05,0.00538408440982152,0.52863951615554,0.00559445156624922,0.000999243993031588,0.00888143838543207,0,0.000466752128323965,0.00100581796666995,0,0.00319495118824574,0.0256647930841797
"13","Ev37Core_A",0.000109360289852316,0.000242494555759483,8.55863137974647e-05,0.0554314025694913,0.001279039911751,0.00751257643333302,6.18123377426134e-05,0.0226090512281636,0.406653860418232,0.00220147018267923,0.00177829340890288,7.1321928164554e-05,0,0.000575330220527402,0.488792947687743,0.000137889061118138,1.90191808438811e-05,0.000936694656561142,0,0.000641897353480986,0.00250577707618133,0,0.000228230170126573,0.00812594501554818
