,kingdom,supergroup,division,class,order,family,genus,species,taxon
Dinoflagellata_1011,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-1,Dino-Group-I-Clade-1_X,Dino-Group-I-Clade-1_X_sp.,Dino-Group-I-Clade-1_X_sp.
Dinoflagellata_1873,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Kryptoperidiniaceae,Durinskia,Durinskia_sp.,Durinskia_sp.
Dinoflagellata_766,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,Protoperidinium_punctulatum,Protoperidinium_punctulatum
Opalozoa_23,Eukaryota,Stramenopiles,Opalozoa,Bicoecea,Pseudodendromonadales,Pseudodendromonadales_X,Nerada,Nerada_mexicana,Nerada_mexicana
Apicomplexa_55,Eukaryota,Alveolata,Apicomplexa,Coccidiomorphea,Haemosporida,Plasmodiidae,Hepatocystis,Hepatocystis_sp.,Hepatocystis_sp.
Bacillariophyta_224,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Raphid-pennate,Nitzschia,Nitzschia_thermalis,Nitzschia_thermalis
Cercozoa_272,Eukaryota,Rhizaria,Cercozoa,Filosa-Granofilosea,Limnofilida,Limnofilidae,Limnofilidae_X,Limnofilidae_X_sp.,Limnofilidae_X_sp.
Cercozoa_419,Eukaryota,Rhizaria,Cercozoa,,,,,,Cercozoa
Cercozoa_66,Eukaryota,Rhizaria,Cercozoa,Filosa-Imbricatea,Euglyphida,Paulinellidae,Paulinella,Paulinella_sp.,Paulinella_sp.
Dinoflagellata_1339,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Suessiales,Suessiaceae,Polarella,Polarella_glacialis,Polarella_glacialis
Dinoflagellata_1854,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Peridiniopsidaceae,Parvodinium,Parvodinium_inconspicuum,Parvodinium_inconspicuum
Lobosa_15,Eukaryota,Amoebozoa,Lobosa,Tubulinea,Euamoebida,LOS7N/I-lineage,LOS7N/I-lineage_X,LOS7N/I-lineage_X_sp.,LOS7N/I-lineage_X_sp.
Pseudofungi_54,Eukaryota,Stramenopiles,Pseudofungi,,,,,,Pseudofungi
Bacillariophyta_160,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,,,Polar-centric-Mediophyceae
Bacillariophyta_395,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Araphid-pennate,Asterionella,Asterionella_glacialis,Asterionella_glacialis
Cryptophyta_77,Eukaryota,Hacrobia,Cryptophyta,Cryptophyceae,Goniomonadales,Goniomonadales_X,Goniomonas,,Goniomonas
Chlorophyta__Streptophyta_196,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Glycine,Glycine_max,Glycine_max
Chlorophyta__Streptophyta_247,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Citrus,Citrus_trifoliata,Citrus_trifoliata
Bacillariophyta_1,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Araphid-pennate,Talaroneis,Talaroneis_posidoniae,Talaroneis_posidoniae
Bacillariophyta_186,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Raphid-pennate,Raphid-pennate_X,Raphid-pennate_X_sp.,Raphid-pennate_X_sp.
Chrysophyceae_14,Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade-F,,,Chrysophyceae_Clade-F
Chrysophyceae_74,Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade-D,Hydrurus,Hydrurus_foetidus,Hydrurus_foetidus
Ciliophora_1318,Eukaryota,Alveolata,Ciliophora,Phyllopharyngea,Cyrtophoria_4,Chilodonellidae,Pseudochilodonopsis,Pseudochilodonopsis_fluviatilis,Pseudochilodonopsis_fluviatilis
Dinoflagellata_1137,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Kareniaceae,Karenia,Karenia_brevis,Karenia_brevis
Apicomplexa_59,Eukaryota,Alveolata,Apicomplexa,Coccidiomorphea,Haemosporida,Plasmodiidae,Hepatocystis,Hepatocystis_sp.,Hepatocystis_sp.
Chlorophyta__Streptophyta_846,Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Bathycoccaceae,Bathycoccus,Bathycoccus_prasinos,Bathycoccus_prasinos
Dinoflagellata_1010,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-1,Dino-Group-I-Clade-1_X,Dino-Group-I-Clade-1_X_sp.,Dino-Group-I-Clade-1_X_sp.
Dinoflagellata_946,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,Dino-Group-I-Clade-5,Dino-Group-I-Clade-5_X,Dino-Group-I-Clade-5_X_sp.,Dino-Group-I-Clade-5_X_sp.
Metamonada_20,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,,,Pyrsonymphidae
Opalozoa_19,Eukaryota,Stramenopiles,Opalozoa,Bicoecea,Bicoecea_X,Bicoecea_XX,Bicoecea_XXX,Bicoecea_XXX_sp.,Bicoecea_XXX_sp.
Phaeophyceae_74,Eukaryota,Stramenopiles,Ochrophyta,Phaeophyceae,Phaeophyceae_X,Phaeophyceae_XX,Acrothrix,Acrothrix_sp.,Acrothrix_sp.
Radiolaria_19,Eukaryota,Rhizaria,Radiolaria,RAD-B,RAD-B_X,RAD-B-Group-I,RAD-B-Group-I_X,RAD-B-Group-I_X_sp.,RAD-B-Group-I_X_sp.
Sagenista_111,Eukaryota,Stramenopiles,Sagenista,Labyrinthulomycetes,Thraustochytriales,Thraustochytriaceae,Thraustochytriaceae_X,Thraustochytriaceae_X_sp.,Thraustochytriaceae_X_sp.
Apicomplexa_212,Eukaryota,Alveolata,Apicomplexa,Gregarinomorphea,Gregarines_GRE1,Gregarines_GRE1_X,Gregarines_GRE1_XX,Gregarines_GRE1_XX_sp.,Gregarines_GRE1_XX_sp.
Bolidophyceae_5,Eukaryota,Stramenopiles,Ochrophyta,Bolidophyceae,Parmales,Parmales_env_2,Parmales_env_2_X,Parmales_env_2_X_sp.,Parmales_env_2_X_sp.
Chlorophyta__Streptophyta_293,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Oryza,Oryza_sativa,Oryza_sativa
Dinoflagellata_1717,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,Gyrodinium_rubrum,Gyrodinium_rubrum
Dinoflagellata_1757,Eukaryota,Alveolata,Dinoflagellata,,,,,,Dinoflagellata
Dinoflagellata_1845,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Peridiniales_X,Gloeodinium,Gloeodinium_viscum,Gloeodinium_viscum
Cryptophyta_116,Eukaryota,Hacrobia,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Geminigera,Geminigera_cryophila,Geminigera_cryophila
Cercozoa_219,Eukaryota,Rhizaria,Cercozoa,Endomyxa-Ascetosporea,Haplosporida,Haplosporidiidae,Haplosporidium,,Haplosporidium
Cercozoa_383,Eukaryota,Rhizaria,Cercozoa,Phaeodarea,Phaeocystida,Aulacanthidae,Aulacantha,Aulacantha_scolymantha,Aulacantha_scolymantha
Chlorophyta__Streptophyta_1045,Eukaryota,Archaeplastida,Chlorophyta,Ulvophyceae,Ulotrichales,Ulotrichales_X,Capsosiphon,Capsosiphon_groenlandicus,Capsosiphon_groenlandicus
Dinoflagellata_1031,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-6,Dino-Group-II-Clade-6_X,Dino-Group-II-Clade-6_X_sp.,Dino-Group-II-Clade-6_X_sp.
Dinoflagellata_1082,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-33,Dino-Group-II-Clade-33_X,Dino-Group-II-Clade-33_X_sp.,Dino-Group-II-Clade-33_X_sp.
Dinoflagellata_8,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Thoracosphaeraceae,Paulsenella,Paulsenella_vonstoschii,Paulsenella_vonstoschii
Dinoflagellata_998,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-I,,,,Dino-Group-I
Phaeophyceae_142,Eukaryota,Stramenopiles,Ochrophyta,Phaeophyceae,Phaeophyceae_X,Phaeophyceae_XX,Sphacelaria,Sphacelaria_sp.,Sphacelaria_sp.
Pseudofungi_104,Eukaryota,Stramenopiles,Pseudofungi,Oomycota,Oomycota_X,Haliphthorales,Haliphthoros,Haliphthoros_sp.,Haliphthoros_sp.
Radiolaria_98,Eukaryota,Rhizaria,Radiolaria,Acantharea,Chaunacanthida,Chaunacanthida_X,Chaunacanthid,Chaunacanthid_217,Chaunacanthid_217
Rhodophyta_21,Eukaryota,Archaeplastida,Rhodophyta,Florideophyceae,Ceramiales,Delesseriaceae,Grinnellia,Grinnellia_americana,Grinnellia_americana
Rhodophyta_278,Eukaryota,Archaeplastida,Rhodophyta,Florideophyceae,Gigartinales,Gigartinales_X,Ptilonia,Ptilonia_australasica,Ptilonia_australasica
Bolidophyceae_7,Eukaryota,Stramenopiles,Ochrophyta,Bolidophyceae,Parmales,Parmales_X,Parmales_XX,Parmales_XX_sp.,Parmales_XX_sp.
Cercozoa_259,Eukaryota,Rhizaria,Cercozoa,Chlorarachniophyceae,Chlorarachnida,Chlorarachnida_X,Chlorarachnion,Chlorarachnion_reptans,Chlorarachnion_reptans
Cercozoa_338,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Cryomonadida,Protaspa-lineage,Protaspa-lineage_X,Protaspa-lineage_X_sp.,Protaspa-lineage_X_sp.
Cercozoa_425,Eukaryota,Rhizaria,Cercozoa,Filosa-Imbricatea,Thaumatomonadida,Thaumatomonadidae,Allas,Allas_diplophysa,Allas_diplophysa
Ciliophora_986,Eukaryota,Alveolata,Ciliophora,Oligohymenophorea,Scuticociliatia_1,Philasterida,Philasterida_X,Philasterida_X_sp.,Philasterida_X_sp.
Cryptophyta_115,Eukaryota,Hacrobia,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadales_X,Geminigera,Geminigera_cryophila,Geminigera_cryophila
Dinoflagellata_1036,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-40,Dino-Group-II-Clade-40_X,Dino-Group-II-Clade-40_X_sp.,Dino-Group-II-Clade-40_X_sp.
Dinoflagellata_1399,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Dinophysiales,Dinophysiaceae,Sinophysis,,Sinophysis
Dinoflagellata_1483,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Bispinodinium,Bispinodinium_angelaceum,Bispinodinium_angelaceum
Dinoflagellata_822,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum_cordatum,Prorocentrum_cordatum
Discoba_6,Eukaryota,Excavata,Discoba,Heterolobosea,Heterolobosea_X,Heterolobosea_XX,Heteramoeba,Heteramoeba_clara,Heteramoeba_clara
Bacillariophyta_62,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,,,Polar-centric-Mediophyceae
Dinoflagellata_1039,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-9,Dino-Group-II-Clade-9_X,Dino-Group-II-Clade-9_X_sp.,Dino-Group-II-Clade-9_X_sp.
Chlorophyta__Streptophyta_377,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Selaginella,Selaginella_vogelii,Selaginella_vogelii
Ciliophora_1278,Eukaryota,Alveolata,Ciliophora,Colpodea,Colpodea_X,,,,Colpodea_X
Dinoflagellata_1910,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gonyaulacales,Thecadiniaceae,Thecadinium,Thecadinium_yashimaense,Thecadinium_yashimaense
Bacillariophyta_249,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Raphid-pennate,Encyonema,Encyonema_caespitosum,Encyonema_caespitosum
Bacillariophyta_325,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Araphid-pennate,Thalassionema,Thalassionema_sp.,Thalassionema_sp.
Cercozoa_348,Eukaryota,Rhizaria,Cercozoa,Filosa-Thecofilosea,Cryomonadida,Rhogostoma-lineage,Rhogostoma,Rhogostoma_sp.,Rhogostoma_sp.
Cercozoa_7,Eukaryota,Rhizaria,Cercozoa,Filosa-Imbricatea,Thaumatomonadida,Peregriniidae,Peregrinia,Peregrinia_clavideferens,Peregrinia_clavideferens
Chlorophyta__Streptophyta_105,Eukaryota,Archaeplastida,Chlorophyta,Nephroselmidophyceae,Nephroselmidales,Nephroselmidales_X,Nephroselmis,Nephroselmis_pyriformis,Nephroselmis_pyriformis
Chlorophyta__Streptophyta_781,Eukaryota,Archaeplastida,Chlorophyta,Mamiellophyceae,Mamiellales,Mamiellaceae,Mamiella,Mamiella_gilva,Mamiella_gilva
Ciliophora_330,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Choreotrichida,Strobilidiidae_I,Strobilidiidae_I_X,Strobilidiidae_I_X_sp.,Strobilidiidae_I_X_sp.
Ciliophora_670,Eukaryota,Alveolata,Ciliophora,CONThreeP,CONThreeP_X,CONThreeP_XX,Askenasia,Askenasia_sp.,Askenasia_sp.
Conosa_101,Eukaryota,Amoebozoa,Conosa,Variosea,Variosea_X,Filamoebidae,Filamoeba,,Filamoeba
Dinoflagellata_1092,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-1,Dino-Group-II-Clade-1_X,Dino-Group-II-Clade-1_X_sp.,Dino-Group-II-Clade-1_X_sp.
Dinoflagellata_1491,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Testudodinium,,Testudodinium
Dinoflagellata_1751,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-III,Dino-Group-III_X,Dino-Group-III_XX,Dino-Group-III_XX_sp.,Dino-Group-III_XX_sp.
Discoba_31,Eukaryota,Excavata,Discoba,Euglenozoa,,,,,Euglenozoa
Haptophyta_169,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,,Chrysochromulina
Haptophyta_215,Eukaryota,Hacrobia,Haptophyta,Prymnesiophyceae,,,,,Prymnesiophyceae
Pelagophyceae_19,Eukaryota,Stramenopiles,Ochrophyta,Pelagophyceae,,,,,Pelagophyceae
Perkinsea_30,Eukaryota,Alveolata,Perkinsea,Perkinsida,Perkinsida_X,Perkinsida_XX,Perkinsida_XXX,Perkinsida_XXX_sp.,Perkinsida_XXX_sp.
Bacillariophyta_221,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Raphid-pennate,,,Raphid-pennate
Bacillariophyta_287,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Raphid-pennate,Nitzschia,Nitzschia_apiculata,Nitzschia_apiculata
Bacillariophyta_323,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Araphid-pennate,Thalassionema,Thalassionema_frauenfeldii,Thalassionema_frauenfeldii
Cercozoa_279,Eukaryota,Rhizaria,Cercozoa,Filosa-Granofilosea,Limnofilida,Limnofilidae,,,Limnofilidae
Cercozoa_10,Eukaryota,Rhizaria,Cercozoa,Filosa-Imbricatea,Filosa-Imbricatea_X,Novel-clade-2,Novel-clade-2_X,Novel-clade-2_X_sp.,Novel-clade-2_X_sp.
Ciliophora_929,Eukaryota,Alveolata,Ciliophora,Oligohymenophorea,Apostomatia,Foettingeriidae,Hyalophysa,Hyalophysa_lwoffi,Hyalophysa_lwoffi
Ciliophora_932,Eukaryota,Alveolata,Ciliophora,Oligohymenophorea,Apostomatia,Apostomatia_X,Apostomatia_XX,Apostomatia_XX_sp.,Apostomatia_XX_sp.
Dinoflagellata_1068,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-8,Dino-Group-II-Clade-8_X,Dino-Group-II-Clade-8_X_sp.,Dino-Group-II-Clade-8_X_sp.
Dinoflagellata_1094,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-II,Dino-Group-II-Clade-1,Dino-Group-II-Clade-1_X,Dino-Group-II-Clade-1_X_sp.,Dino-Group-II-Clade-1_X_sp.
Dinoflagellata_851,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,Prorocentrum_fukuyoi,Prorocentrum_fukuyoi
Discoba_9,Eukaryota,Excavata,Discoba,Heterolobosea,Heterolobosea_X,Vahlkampfiidae,Vahlkampfia,,Vahlkampfia
Radiolaria_20,Eukaryota,Rhizaria,Radiolaria,RAD-B,RAD-B_X,RAD-B-Group-I,RAD-B-Group-I_X,RAD-B-Group-I_X_sp.,RAD-B-Group-I_X_sp.
Chrysophyceae_63,Eukaryota,Stramenopiles,Ochrophyta,Chrysophyceae,Chrysophyceae_X,Chrysophyceae_Clade-H,Chrysophyceae_Clade-H_X,Chrysophyceae_Clade-H_X_sp.,Chrysophyceae_Clade-H_X_sp.
Chlorophyta__Streptophyta_1046,Eukaryota,Archaeplastida,Chlorophyta,Ulvophyceae,Ulotrichales,Ulotrichales_X,Urospora,Urospora_penicilliformis,Urospora_penicilliformis
Chlorophyta__Streptophyta_367,Eukaryota,Archaeplastida,Streptophyta,Embryophyceae,Embryophyceae_X,Embryophyceae_XX,Cycas,Cycas_taitungensis,Cycas_taitungensis
Ciliophora_672,Eukaryota,Alveolata,Ciliophora,CONThreeP,CONThreeP_X,CONThreeP_XX,Askenasia,Askenasia_sp.,Askenasia_sp.
Dinoflagellata_889,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Akashiwo,Akashiwo_sanguinea,Akashiwo_sanguinea
Bacillariophyta_58,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Stephanodiscus,Stephanodiscus_niagarae,Stephanodiscus_niagarae
Bacillariophyta_31,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Minidiscus,Minidiscus_trioculatus,Minidiscus_trioculatus
Conosa_19,Eukaryota,Amoebozoa,Conosa,Mycetozoa-Dictyostelea,Dictyosteliida,Dictyosteliida-Group-IV,Dictyostelium-Group-IV,Dictyostelium_capitatum,Dictyostelium_capitatum
Apicomplexa_86,Eukaryota,Alveolata,Apicomplexa,Coccidiomorphea,Eimeriida,Corallicollids,Corallicollids_X,Corallicollids_X_sp.,Corallicollids_X_sp.
Bacillariophyta_154,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,,,Polar-centric-Mediophyceae
Bacillariophyta_355,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Araphid-pennate,,,Araphid-pennate
Bacillariophyta_93,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Lithodesmium,Lithodesmium_undulatum,Lithodesmium_undulatum
Cercozoa_36,Eukaryota,Rhizaria,Cercozoa,Filosa-Imbricatea,Euglyphida,Euglyphidae,Euglypha,Euglypha_tuberculata,Euglypha_tuberculata
Chlorophyta__Streptophyta_1064,Eukaryota,Archaeplastida,Chlorophyta,Ulvophyceae,Ulotrichales,Ulotrichales_X,Pseudendoclonium,Pseudendoclonium_submarinum,Pseudendoclonium_submarinum
Ciliophora_255,Eukaryota,Alveolata,Ciliophora,Spirotrichea,Tintinnida,Rhabdonellidae,Metacylis,Metacylis_angulata,Metacylis_angulata
Dinoflagellata_1927,Eukaryota,Alveolata,Dinoflagellata,Dinophyceae,Peridiniales,Amphidiniopsidaceae,Herdmania,Herdmania_litoralis,Herdmania_litoralis
Eustigmatophyceae_0,Eukaryota,Stramenopiles,Ochrophyta,Eustigmatophyceae,Eustigmatophyceae_X,Eustigmatophyceae_XX,Pseudocharaciopsis,Pseudocharaciopsis_minuta,Pseudocharaciopsis_minuta
Opalozoa_67,Eukaryota,Stramenopiles,Opalozoa,MAST-3,,,,,MAST-3
Opalozoa_82,Eukaryota,Stramenopiles,Opalozoa,Opalinata,Opalinata_X,Blastocystis-Group,Blastocystis,Blastocystis_sp.,Blastocystis_sp.
Phaeophyceae_63,Eukaryota,Stramenopiles,Ochrophyta,Phaeophyceae,Phaeophyceae_X,Phaeophyceae_XX,,,Phaeophyceae_XX
Bacillariophyta_5,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Bellerochea,Bellerochea_malleus,Bellerochea_malleus
Bacillariophyta_56,Eukaryota,Stramenopiles,Ochrophyta,Bacillariophyta,Bacillariophyta_X,Polar-centric-Mediophyceae,Skeletonema,,Skeletonema
Cercozoa_303,Eukaryota,Rhizaria,Cercozoa,Filosa-Granofilosea,,,,,Filosa-Granofilosea
Dinoflagellata_1026,Eukaryota,Alveolata,Dinoflagellata,Syndiniales,Dino-Group-IV,Dino-Group-IV-Hematodinium-Group,Hematodinium,Hematodinium_perezi,Hematodinium_perezi
Lobosa_18,Eukaryota,Amoebozoa,Lobosa,Tubulinea,Echinamoebida,Echinamoebidae,Echinamoeba,Echinamoeba_exundans,Echinamoeba_exundans
Pelagophyceae_15,Eukaryota,Stramenopiles,Ochrophyta,Pelagophyceae,Pelagomonadales,Pelagomonadaceae,,,Pelagomonadaceae
Cercozoa_60,Eukaryota,Rhizaria,Cercozoa,Filosa-Imbricatea,Euglyphida,Euglyphidae,Tracheleuglypha,Tracheleuglypha_dentata,Tracheleuglypha_dentata
Ciliophora_1335,Eukaryota,Alveolata,Ciliophora,Phyllopharyngea,Cyrtophoria_1,PHYLL_4,PHYLL_4_X,PHYLL_4_X_sp.,PHYLL_4_X_sp.
Cercozoa_375,Eukaryota,Rhizaria,Cercozoa,Phaeodarea,Phaeoconchida,Conchariidae,Conchellium,Conchellium_capsula,Conchellium_capsula
Ciliophora_1294,Eukaryota,Alveolata,Ciliophora,Phyllopharyngea,Cyrtophoria_7,Hartmannulidae,Heterohartmannula,Heterohartmannula_fangi,Heterohartmannula_fangi
Metamonada_14,Eukaryota,Excavata,Metamonada,Preaxostyla,Oxymonadida,Pyrsonymphidae,Pyrsonympha,Pyrsonympha_sp.,Pyrsonympha_sp.
Ciliophora_810,Eukaryota,Alveolata,Ciliophora,Oligohymenophorea,Peniculia,Frontoniidae_1,Frontonia_1,Frontonia_subtropica,Frontonia_subtropica
Pelagophyceae_2,Eukaryota,Stramenopiles,Ochrophyta,Pelagophyceae,Pelagomonadales,Pelagomonadaceae,Pelagomonas,Pelagomonas_calceolata,Pelagomonas_calceolata
Rhodophyta_192,Eukaryota,Archaeplastida,Rhodophyta,Florideophyceae,Ceramiales,Callithamniaceae,Aglaothamnion,Aglaothamnion_feldmanniae,Aglaothamnion_feldmanniae
Sagenista_73,Eukaryota,Stramenopiles,Sagenista,Labyrinthulomycetes,Labyrinthulales,Labyrinthulaceae,Labyrinthulaceae_X,Labyrinthulaceae_X_sp.,Labyrinthulaceae_X_sp.
Telonemia_36,Eukaryota,Hacrobia,Telonemia,Telonemia_X,Telonemia_XX,,,,Telonemia_XX
