Org,u,Treatment
Tank,0.345000029,20ppt3C
Tank,0.417968698,20ppt3C
Tank,0.299252736,20ppt3C
Tank,0.395433223,35ppt0C
Tank,0.414995778,35ppt0C
Tank,0.304484585,35ppt0C
Tank,0.166363393,50ppt-3C
Tank,0.197185289,50ppt-3C
Tank,0.175775552,50ppt-3C
StaB,0.193416723,StationB
