,superkingdom,phylum,clade,class,order,family,genus,species,strain,taxon
Cyanobacteria_150,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,Chroococcales,Cyanobacteriaceae,Cyanobacterium,Cyanobacterium aponinum,Cyanobacterium aponinum PCC 10605,Cyanobacterium aponinum PCC 10605
Cyanobacteria_177,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,Chroococcales,Aphanothecaceae,Rippkaea,Rippkaea orientalis,Rippkaea orientalis PCC 8801,Rippkaea orientalis PCC 8801
Firmicutes_Tenericutes_3394,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Clostridiales,Lachnospiraceae,Anaerotignum,Anaerotignum propionicum,Anaerotignum propionicum DSM 1682,Anaerotignum propionicum DSM 1682
Firmicutes_Tenericutes_3502,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Clostridiales,Ruminococcaceae,Ethanoligenens,Ethanoligenens harbinense,Ethanoligenens harbinense YUAN-3,Ethanoligenens harbinense YUAN-3
Firmicutes_Tenericutes_3511,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Clostridiales,Ruminococcaceae,Faecalibacterium,Faecalibacterium prausnitzii,,Faecalibacterium prausnitzii
Firmicutes_Tenericutes_3679,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Clostridiales,Clostridiaceae,Clostridium,Clostridium estertheticum,,Clostridium estertheticum
Firmicutes_Tenericutes_452,Bacteria,Tenericutes,Terrabacteria group,,,,Candidatus Izimaplasma,Candidatus Izimaplasma sp. HR1,,Candidatus Izimaplasma sp. HR1
Planctomycetes_44,Bacteria,Planctomycetes,PVC group,Planctomycetia,Pirellulales,Pirellulaceae,Pirellula,Pirellula staleyi,Pirellula staleyi DSM 6068,Pirellula staleyi DSM 6068
Proteobacteria_1468,Bacteria,Proteobacteria,,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,,,Shewanella
Proteobacteria_2147,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. ADAK13,,Pseudomonas sp. ADAK13
Proteobacteria_2775,Bacteria,Proteobacteria,,Betaproteobacteria,Nitrosomonadales,Thiobacillaceae,Sulfuritortus,Sulfuritortus calidifontis,,Sulfuritortus calidifontis
Proteobacteria_2783,Bacteria,Proteobacteria,,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Candidatus Nitrotoga,Candidatus Nitrotoga sp. AM1P,,Candidatus Nitrotoga sp. AM1P
Proteobacteria_3770,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,Polaromonas sp. JS666,,Polaromonas sp. JS666
Proteobacteria_3833,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,,,,Comamonadaceae
Proteobacteria_3976,Bacteria,Proteobacteria,,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,Rhodanobacter denitrificans,,Rhodanobacter denitrificans
Proteobacteria_5590,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,Devosia sp. A16,,Devosia sp. A16
Proteobacteria_5601,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhizobiales,,Nordella,Nordella sp. HKS 07,,Nordella sp. HKS 07
Proteobacteria_5779,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,,,Methylobacterium
Proteobacteria_5977,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,,Rhodobacteraceae
Proteobacteria_6051,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,,Rhodobacteraceae
Proteobacteria_6155,Bacteria,Proteobacteria,,Alphaproteobacteria,Emcibacterales,Emcibacteraceae,Emcibacter,,,Emcibacter
Proteobacteria_6450,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Haematospirillum,Haematospirillum jordaniae,,Haematospirillum jordaniae
Proteobacteria_6608,Bacteria,Proteobacteria,,Gammaproteobacteria,Legionellales,Coxiellaceae,Aquicella,,,Aquicella
Proteobacteria_6705,Bacteria,Proteobacteria,,Gammaproteobacteria,Legionellales,Legionellaceae,Tatlockia,Tatlockia micdadei,,Tatlockia micdadei
Proteobacteria_6959,Bacteria,Proteobacteria,,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,Colwellia sp. PAMC 21821,,Colwellia sp. PAMC 21821
Proteobacteria_7067,Bacteria,Proteobacteria,,Gammaproteobacteria,Alteromonadales,,,,,Alteromonadales
Proteobacteria_8666,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,Escherichia coli
Spirochaetes_45,Bacteria,Spirochaetes,,Spirochaetia,Brachyspirales,Brachyspiraceae,Brachyspira,,,Brachyspira
Verrucomicrobia_6,Bacteria,Verrucomicrobia,PVC group,Opitutae,,,,,,Opitutae
Actinobacteria_1939,Bacteria,Actinobacteria,Terrabacteria group,Actinobacteria,Micrococcales,Microbacteriaceae,Cryobacterium,,,Cryobacterium
Bacteroidetes_1128,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Polaribacter,Polaribacter haliotis,,Polaribacter haliotis
Bacteroidetes_944,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Sediminicola,Sediminicola sp. YIK13,,Sediminicola sp. YIK13
Firmicutes_Tenericutes_2249,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,Carnobacterium sp. CP1,,Carnobacterium sp. CP1
Firmicutes_Tenericutes_749,Bacteria,Tenericutes,Terrabacteria group,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasmopsis,Mycoplasma pulmonis,Mycoplasma pulmonis UAB CTIP,Mycoplasma pulmonis UAB CTIP
Firmicutes_Tenericutes_788,Bacteria,Tenericutes,Terrabacteria group,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasmopsis,Mycoplasma citelli,,Mycoplasma citelli
Planctomycetes_69,Bacteria,Planctomycetes,PVC group,Planctomycetia,Planctomycetales,Planctomycetaceae,Gimesia,Gimesia maris,,Gimesia maris
Proteobacteria_2141,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Candidatus Pseudomonas adelgestsugas,,Candidatus Pseudomonas adelgestsugas
Proteobacteria_2665,Bacteria,Proteobacteria,sulfur-oxidizing symbionts,Gammaproteobacteria,,,Candidatus Ruthia,,,Candidatus Ruthia
Proteobacteria_4273,Bacteria,Proteobacteria,,Deltaproteobacteria,Desulfarculales,Desulfarculaceae,Desulfarculus,Desulfarculus baarsii,Desulfarculus baarsii DSM 2075,Desulfarculus baarsii DSM 2075
Proteobacteria_4909,Bacteria,Proteobacteria,,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Arcobacter,Arcobacter nitrofigilis,Arcobacter nitrofigilis DSM 7299,Arcobacter nitrofigilis DSM 7299
Proteobacteria_5118,Bacteria,Proteobacteria,,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,,,,Rickettsiaceae
Proteobacteria_5122,Bacteria,Proteobacteria,,Alphaproteobacteria,Holosporales,Holosporaceae,,endosymbiont of Acanthamoeba sp. UWC8,,endosymbiont of Acanthamoeba sp. UWC8
Proteobacteria_5220,Bacteria,Proteobacteria,,Alphaproteobacteria,Holosporales,Candidatus Paracaedibacteraceae,Candidatus Paracaedibacter,Candidatus Paracaedibacter acanthamoebae,,Candidatus Paracaedibacter acanthamoebae
Proteobacteria_5428,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Oricola,Oricola thermophila,,Oricola thermophila
Proteobacteria_6627,Bacteria,Proteobacteria,,Gammaproteobacteria,,,,,,Gammaproteobacteria
Proteobacteria_6926,Bacteria,Proteobacteria,,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinomonas,Marinomonas sp. FW-1,,Marinomonas sp. FW-1
Spirochaetes_47,Bacteria,Spirochaetes,,Spirochaetia,Spirochaetales,Spirochaetaceae,Oceanispirochaeta,Oceanispirochaeta crateris,,Oceanispirochaeta crateris
Bacteroidetes_328,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,Alloprevotella sp. E39,,Alloprevotella sp. E39
Bacteroidetes_998,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,,Flavobacteriaceae
Cyanobacteria_78,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,Nostocales,Aphanizomenonaceae,Cylindrospermopsis,Cylindrospermopsis curvispora,Cylindrospermopsis curvispora GIHE-G1,Cylindrospermopsis curvispora GIHE-G1
Deinococcus-Thermus_60,Bacteria,Deinococcus-Thermus,Terrabacteria group,Deinococci,Trueperales,Trueperaceae,Truepera,Truepera radiovictrix,Truepera radiovictrix DSM 17093,Truepera radiovictrix DSM 17093
Nitrospirae_6,Bacteria,Nitrospirae,,Nitrospira,Nitrospirales,Nitrospiraceae,,,,Nitrospiraceae
Proteobacteria_2659,Bacteria,Proteobacteria,,Gammaproteobacteria,,,Candidatus Thioglobus,,,Candidatus Thioglobus
Proteobacteria_3181,Bacteria,Proteobacteria,,,,,,,,
Proteobacteria_4399,Bacteria,Proteobacteria,,Oligoflexia,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,,,Bdellovibrio
Proteobacteria_5124,Bacteria,Proteobacteria,,Alphaproteobacteria,,,,,,Alphaproteobacteria
Proteobacteria_5565,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,,,,Phyllobacteriaceae
Proteobacteria_5607,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,,,Hyphomicrobium
Proteobacteria_6893,Bacteria,Proteobacteria,,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,,,,Halomonadaceae
Bacteroidetes_50,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Cytophagaceae,Arcticibacterium,Arcticibacterium luteifluviistationis,,Arcticibacterium luteifluviistationis
Bacteroidetes_516,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Marinilabiliales,Salinivirgaceae,Salinivirga,Salinivirga cyanobacteriivorans,,Salinivirga cyanobacteriivorans
Firmicutes_Tenericutes_3739,Bacteria,Firmicutes,Terrabacteria group,Tissierellia,Tissierellales,Tissierellaceae,Gudongella,Gudongella oleilytica,,Gudongella oleilytica
Proteobacteria_1905,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,,,Psychrobacter
Proteobacteria_2792,Bacteria,Proteobacteria,,Betaproteobacteria,Nitrosomonadales,Methylophilaceae,Methylotenera,Methylotenera versatilis,Methylotenera versatilis 301,Methylotenera versatilis 301
Proteobacteria_3804,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,,,,Comamonadaceae
Proteobacteria_5066,Bacteria,Proteobacteria,,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Rickettsia,,,Rickettsia
Proteobacteria_5916,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,,,Rhodobacter
Proteobacteria_6689,Bacteria,Proteobacteria,,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,,,Francisella
Proteobacteria_6862,Bacteria,Proteobacteria,,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,,Halomonas
Proteobacteria_6972,Bacteria,Proteobacteria,,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,,,Colwellia
Firmicutes_Tenericutes_3964,Bacteria,Firmicutes,Terrabacteria group,Negativicutes,Veillonellales,Veillonellaceae,Dialister,,,Dialister
Proteobacteria_1874,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,Moraxella osloensis,,Moraxella osloensis
Proteobacteria_4137,Bacteria,Proteobacteria,,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,Xanthomonas citri,Xanthomonas citri pv. citri str. 306,Xanthomonas citri pv. citri str. 306
Proteobacteria_6125,Bacteria,Proteobacteria,,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,Asticcacaulis excentricus,Asticcacaulis excentricus CB 48,Asticcacaulis excentricus CB 48
Proteobacteria_8583,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,,Escherichia coli
Firmicutes_Tenericutes_3528,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Clostridiales,,,,,Clostridiales
Firmicutes_Tenericutes_3753,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Clostridiales,Clostridiales Family XIII. Incertae Sedis,,,,Clostridiales Family XIII. Incertae Sedis
Firmicutes_Tenericutes_3873,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermacetogenium,Thermacetogenium phaeum,Thermacetogenium phaeum DSM 12270,Thermacetogenium phaeum DSM 12270
Planctomycetes_40,Bacteria,Planctomycetes,PVC group,Planctomycetia,Pirellulales,Thermoguttaceae,Thermogutta,Thermogutta terrifontis,,Thermogutta terrifontis
Planctomycetes_59,Bacteria,Planctomycetes,PVC group,Planctomycetia,,,,,,Planctomycetia
Proteobacteria_1933,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Azotobacter,Azotobacter salinestris,,Azotobacter salinestris
Proteobacteria_4322,Bacteria,Proteobacteria,,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geoalkalibacter,Geoalkalibacter subterraneus,,Geoalkalibacter subterraneus
Proteobacteria_5227,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Defluviicoccus,Defluviicoccus vanus,,Defluviicoccus vanus
Proteobacteria_6004,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Salipiger,,,Salipiger
Proteobacteria_6279,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,,,,Sphingomonadaceae
Proteobacteria_6569,Bacteria,Proteobacteria,,,,,,,,Proteobacteria
Proteobacteria_6610,Bacteria,Proteobacteria,,Gammaproteobacteria,,,,endosymbiont of Plagiopylea sp.,,endosymbiont of Plagiopylea sp.
Proteobacteria_6836,Bacteria,Proteobacteria,,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,Halomonas sp. PA16-9,,Halomonas sp. PA16-9
Actinobacteria_176,Bacteria,Actinobacteria,Terrabacteria group,Acidimicrobiia,Acidimicrobiales,,,,,Acidimicrobiales
Actinobacteria_855,Bacteria,Actinobacteria,Terrabacteria group,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium segmentosum,,Corynebacterium segmentosum
Bacteroidetes_228,Bacteria,Bacteroidetes,FCB group,Chitinophagia,Chitinophagales,Chitinophagaceae,Flavisolibacter,,,Flavisolibacter
Bacteroidetes_250,Bacteria,Bacteroidetes,FCB group,Chitinophagia,Chitinophagales,Chitinophagaceae,Niastella,Niastella koreensis,Niastella koreensis GR20-10,Niastella koreensis GR20-10
Firmicutes_Tenericutes_1449,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus sanguinis,,Streptococcus sanguinis
Proteobacteria_3071,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia,Lautropia mirabilis,,Lautropia mirabilis
Proteobacteria_3789,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Serpentinomonas,Serpentinomonas mccroryi,,Serpentinomonas mccroryi
Proteobacteria_4034,Bacteria,Proteobacteria,,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,Stenotrophomonas maltophilia,,Stenotrophomonas maltophilia
Proteobacteria_5988,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Phaeobacter,Phaeobacter inhibens,Phaeobacter inhibens 2.10,Phaeobacter inhibens 2.10
Proteobacteria_6210,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,,,,Sphingomonadaceae
Proteobacteria_6956,Bacteria,Proteobacteria,,Gammaproteobacteria,Chromatiales,Chromatiaceae,Rheinheimera,,,Rheinheimera
Proteobacteria_8570,Bacteria,Proteobacteria,,,,,,,,
Proteobacteria_8904,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella dysenteriae,,Shigella dysenteriae
Spirochaetes_147,Bacteria,Spirochaetes,,Spirochaetia,,,,,,Spirochaetia
Firmicutes_Tenericutes_4006,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus aryabhattai,,Bacillus aryabhattai
Firmicutes_Tenericutes_933,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Bacillales,Listeriaceae,Listeria,,,Listeria
Proteobacteria_1926,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas marincola,,Pseudomonas marincola
Proteobacteria_1981,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,,Pseudomonas aeruginosa
Proteobacteria_1997,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,,Pseudomonas aeruginosa
Proteobacteria_1998,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas aeruginosa,,Pseudomonas aeruginosa
Proteobacteria_407,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella quasipneumoniae,,Klebsiella quasipneumoniae
Proteobacteria_8447,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,Shigella flexneri,,Shigella flexneri
Bacteroidetes_830,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium kingsejongi,,Flavobacterium kingsejongi
Proteobacteria_3773,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,,,Polaromonas
Cyanobacteria_149,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,Chroococcales,Chroococcaceae,Chondrocystis,Chondrocystis sp. NIES-4102,,Chondrocystis sp. NIES-4102
Proteobacteria_1463,Bacteria,Proteobacteria,,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,,,Shewanella
Proteobacteria_2516,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,,Pseudomonas
Proteobacteria_3946,Bacteria,Proteobacteria,,Gammaproteobacteria,Nevskiales,Sinobacteraceae,,,,Sinobacteraceae
Proteobacteria_4368,Bacteria,Proteobacteria,,Deltaproteobacteria,Myxococcales,,,,,Myxococcales
Proteobacteria_5210,Bacteria,Proteobacteria,,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,,,,Anaplasmataceae
Proteobacteria_6096,Bacteria,Proteobacteria,,Alphaproteobacteria,,,Micavibrio,Micavibrio aeruginosavorus,,Micavibrio aeruginosavorus
Proteobacteria_6657,Bacteria,Proteobacteria,,Gammaproteobacteria,Thiotrichales,Francisellaceae,Francisella,Francisella tularensis,,Francisella tularensis
Proteobacteria_6895,Bacteria,Proteobacteria,,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,Alcanivorax borkumensis,Alcanivorax borkumensis SK2,Alcanivorax borkumensis SK2
Spirochaetes_131,Bacteria,Spirochaetes,,Spirochaetia,Spirochaetales,Borreliaceae,Borreliella,Borreliella garinii,,Borreliella garinii
Proteobacteria_2405,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas sp. JY-Q,,Pseudomonas sp. JY-Q
Proteobacteria_6420,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium cloacae,,Sphingobium cloacae
Proteobacteria_8452,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Shigella,,,Shigella
Proteobacteria_8530,Bacteria,Proteobacteria,,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,Escherichia coli ABU 83972,Escherichia coli ABU 83972
Firmicutes_Tenericutes_3475,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Clostridiales,Hungateiclostridiaceae,Hungateiclostridium,Hungateiclostridium saccincola,,Hungateiclostridium saccincola
Proteobacteria_2648,Bacteria,Proteobacteria,,Gammaproteobacteria,Chromatiales,Granulosicoccaceae,Sulfuriflexus,Sulfuriflexus mobilis,,Sulfuriflexus mobilis
Cyanobacteria_116,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,Chroococcidiopsidales,Chroococcidiopsidaceae,Chroococcidiopsis,Chroococcidiopsis thermalis,Chroococcidiopsis thermalis PCC 7203,Chroococcidiopsis thermalis PCC 7203
Cyanobacteria_209,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,Synechococcales,Prochlorotrichaceae,Halomicronema,Halomicronema hongdechloris,Halomicronema hongdechloris C2206,Halomicronema hongdechloris C2206
Firmicutes_Tenericutes_2257,Bacteria,Firmicutes,Terrabacteria group,Bacilli,Lactobacillales,Carnobacteriaceae,Dolosigranulum,Dolosigranulum pigrum,,Dolosigranulum pigrum
Proteobacteria_1006,Bacteria,Proteobacteria,,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio splendidus,,Vibrio splendidus
Proteobacteria_1886,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,Moraxella catarrhalis,Moraxella catarrhalis BBH18,Moraxella catarrhalis BBH18
Proteobacteria_4189,Bacteria,Proteobacteria,,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,,,Luteimonas
Proteobacteria_2611,Bacteria,Proteobacteria,,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,,,,Cardiobacteriaceae
Proteobacteria_6565,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Candidatus Endolissoclinum,Candidatus Endolissoclinum faulkneri,,Candidatus Endolissoclinum faulkneri
Bacteroidetes_915,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Nonlabens,,,Nonlabens
Proteobacteria_4383,Bacteria,Proteobacteria,,Deltaproteobacteria,Myxococcales,,,,,Myxococcales
Proteobacteria_5048,Bacteria,Proteobacteria,,,,,,,,
Proteobacteria_5050,Bacteria,Proteobacteria,,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Candidatus Phycorickettsia,Candidatus Phycorickettsia trachydisci,,Candidatus Phycorickettsia trachydisci
Proteobacteria_6957,Bacteria,Proteobacteria,,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Litorilituus,Litorilituus sediminis,,Litorilituus sediminis
Firmicutes_Tenericutes_710,Bacteria,Tenericutes,Terrabacteria group,Mollicutes,Mycoplasmatales,Mycoplasmataceae,,,,Mycoplasmataceae
Proteobacteria_4904,Bacteria,Proteobacteria,,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Malaciobacter,Malaciobacter halophilus,,Malaciobacter halophilus
Bacteroidetes_1146,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,,,,,Flavobacteriales
Bacteroidetes_120,Bacteria,Bacteroidetes,FCB group,Cytophagia,Cytophagales,Marivirgaceae,Marivirga,Marivirga tractuosa,Marivirga tractuosa DSM 4126,Marivirga tractuosa DSM 4126
Proteobacteria_2645,Bacteria,Proteobacteria,,Gammaproteobacteria,,,Sedimenticola,Sedimenticola thiotaurini,,Sedimenticola thiotaurini
Proteobacteria_3767,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,Polaromonas naphthalenivorans,Polaromonas naphthalenivorans CJ2,Polaromonas naphthalenivorans CJ2
Proteobacteria_4260,Bacteria,Proteobacteria,,Deltaproteobacteria,Desulfobacterales,Desulfobulbaceae,Desulfocapsa,Desulfocapsa sulfexigens,Desulfocapsa sulfexigens DSM 10523,Desulfocapsa sulfexigens DSM 10523
Bacteroidetes_285,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,,Prevotella
Bacteroidetes_903,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,,,,Flavobacteriaceae
Firmicutes_Tenericutes_3432,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Blautia sp. LZLJ-3,,Blautia sp. LZLJ-3
Planctomycetes_35,Bacteria,Planctomycetes,PVC group,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Phycisphaera,Phycisphaera mikurensis,Phycisphaera mikurensis NBRC 102666,Phycisphaera mikurensis NBRC 102666
Proteobacteria_1592,Bacteria,Proteobacteria,,Gammaproteobacteria,Cellvibrionales,,,,,Cellvibrionales
Proteobacteria_3056,Bacteria,Proteobacteria,,Betaproteobacteria,Nitrosomonadales,Nitrosomonadaceae,Nitrosospira,Nitrosospira multiformis,Nitrosospira multiformis ATCC 25196,Nitrosospira multiformis ATCC 25196
Proteobacteria_4956,Bacteria,Proteobacteria,,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Poseidonibacter,Poseidonibacter parvus,,Poseidonibacter parvus
Proteobacteria_5201,Bacteria,Proteobacteria,,Alphaproteobacteria,Rickettsiales,Anaplasmataceae,,,,Anaplasmataceae
Proteobacteria_5609,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Filomicrobium,Candidatus Filomicrobium marinum,,Candidatus Filomicrobium marinum
Proteobacteria_5850,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paraoceanicella,Paraoceanicella profunda,,Paraoceanicella profunda
Proteobacteria_5851,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Monaibacterium,Monaibacterium sp. ALG8,,Monaibacterium sp. ALG8
Proteobacteria_6570,Bacteria,Proteobacteria,,Alphaproteobacteria,Magnetococcales,Magnetococcaceae,Magnetococcus,Magnetococcus marinus,Magnetococcus marinus MC-1,Magnetococcus marinus MC-1
Verrucomicrobia_11,Bacteria,Verrucomicrobia,PVC group,Methylacidiphilae,Methylacidiphilales,Methylacidiphilaceae,Methylacidiphilum,,,Methylacidiphilum
Actinobacteria_1524,Bacteria,Actinobacteria,Terrabacteria group,Actinobacteria,Micrococcales,,Luteimicrobium,Luteimicrobium xylanilyticum,,Luteimicrobium xylanilyticum
Bacteroidetes_205,Bacteria,Bacteroidetes,FCB group,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,,,,Sphingobacteriaceae
