,superkingdom,phylum,clade,class,order,family,genus,species,strain,taxon
Firmicutes_Tenericutes_3797,Bacteria,Firmicutes,Terrabacteria group,Clostridia,Clostridiales,Peptostreptococcaceae,Peptoclostridium,Peptoclostridium acidaminophilum,Peptoclostridium acidaminophilum DSM 3953,Peptoclostridium acidaminophilum DSM 3953
Fusobacteria_49,Bacteria,Fusobacteria,,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,,,Fusobacterium
Proteobacteria_1627,Bacteria,Proteobacteria,,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Hydrocarboniclastica,Hydrocarboniclastica marina,,Hydrocarboniclastica marina
Proteobacteria_2594,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Oblitimonas,Oblitimonas alkaliphila,,Oblitimonas alkaliphila
Proteobacteria_2599,Bacteria,Proteobacteria,,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,,,,Pseudomonadaceae
Proteobacteria_2633,Bacteria,Proteobacteria,,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylomonas,,,Methylomonas
Proteobacteria_2773,Bacteria,Proteobacteria,,,,,,,,
Proteobacteria_3267,Bacteria,Proteobacteria,,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia solanacearum,,Ralstonia solanacearum
Proteobacteria_4250,Bacteria,Proteobacteria,,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Acidihalobacter,Acidihalobacter prosperus,,Acidihalobacter prosperus
Proteobacteria_4439,Bacteria,Proteobacteria,,Epsilonproteobacteria,Campylobacterales,Thiovulaceae,,,,Thiovulaceae
Proteobacteria_4954,Bacteria,Proteobacteria,,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,,,,Campylobacteraceae
Proteobacteria_5965,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudohalocynthiibacter,Pseudohalocynthiibacter aestuariivivens,,Pseudohalocynthiibacter aestuariivivens
Proteobacteria_6777,Bacteria,Proteobacteria,,Gammaproteobacteria,,,,,,Gammaproteobacteria
Proteobacteria_6916,Bacteria,Proteobacteria,,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Bermanella,Bermanella marisrubri,,Bermanella marisrubri
Proteobacteria_7068,Bacteria,Proteobacteria,,Gammaproteobacteria,Alteromonadales,,,,,Alteromonadales
Proteobacteria_7072,Bacteria,Proteobacteria,,Gammaproteobacteria,Alteromonadales,,,,,Alteromonadales
Bacteroidetes_278,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Marinilabiliales,Prolixibacteraceae,Draconibacterium,,,Draconibacterium
Bacteroidetes_963,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Dokdonia,,,Dokdonia
Firmicutes_Tenericutes_473,Bacteria,Tenericutes,Terrabacteria group,Mollicutes,Acholeplasmatales,Acholeplasmataceae,,,,Acholeplasmataceae
Planctomycetes_61,Bacteria,Planctomycetes,PVC group,,,,,,,PVC group
Proteobacteria_1535,Bacteria,Proteobacteria,,Gammaproteobacteria,Oceanospirillales,Kangiellaceae,Kangiella,Kangiella sediminilitoris,,Kangiella sediminilitoris
Proteobacteria_2663,Bacteria,Proteobacteria,sulfur-oxidizing symbionts,Gammaproteobacteria,,,Candidatus Ruthia,Candidatus Ruthia endofausta,,Candidatus Ruthia endofausta
Proteobacteria_3173,Bacteria,Proteobacteria,,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Candidatus Carsonella,Candidatus Carsonella ruddii,,Candidatus Carsonella ruddii
Proteobacteria_3947,Bacteria,Proteobacteria,,Gammaproteobacteria,Nevskiales,Steroidobacteraceae,Steroidobacter,Steroidobacter denitrificans,,Steroidobacter denitrificans
Proteobacteria_4236,Bacteria,Proteobacteria,,Gammaproteobacteria,Salinisphaerales,Salinisphaeraceae,Salinisphaera,Salinisphaera sp. LB1,,Salinisphaera sp. LB1
Proteobacteria_5125,Bacteria,Proteobacteria,,Alphaproteobacteria,,,,,,Alphaproteobacteria
Proteobacteria_5945,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,,,,Rhodobacteraceae
Proteobacteria_6038,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Octadecabacter,Octadecabacter arcticus,Octadecabacter arcticus 238,Octadecabacter arcticus 238
Proteobacteria_6575,Bacteria,Proteobacteria,,Zetaproteobacteria,Mariprofundales,Mariprofundaceae,Mariprofundus,,,Mariprofundus
Proteobacteria_7153,Bacteria,Proteobacteria,,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,,,Pseudoalteromonas
Spirochaetes_148,Bacteria,Spirochaetes,,Spirochaetia,,,,,,Spirochaetia
Bacteroidetes_1153,Bacteria,Bacteroidetes,FCB group,,,,,,,FCB group
Planctomycetes_45,Bacteria,Planctomycetes,PVC group,Planctomycetia,Pirellulales,Pirellulaceae,Mariniblastus,Mariniblastus fucicola,,Mariniblastus fucicola
Proteobacteria_6432,Bacteria,Proteobacteria,,Alphaproteobacteria,Sphingomonadales,,,,,Sphingomonadales
Actinobacteria_1933,Bacteria,Actinobacteria,Terrabacteria group,Actinobacteria,Micrococcales,Microbacteriaceae,Candidatus Aquiluna,Candidatus Aquiluna sp. 15G-AUS-rot,,Candidatus Aquiluna sp. 15G-AUS-rot
Bacteroidetes_1014,Bacteria,Bacteroidetes,FCB group,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Lacinutrix,Lacinutrix venerupis,,Lacinutrix venerupis
Bacteroidetes_281,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Prevotellaceae,Paraprevotella,Paraprevotella xylaniphila,Paraprevotella xylaniphila YIT 11841,Paraprevotella xylaniphila YIT 11841
Bacteroidetes_490,Bacteria,Bacteroidetes,FCB group,Bacteroidia,Bacteroidales,Odoribacteraceae,Odoribacter,Odoribacter splanchnicus,,Odoribacter splanchnicus
Cyanobacteria_46,Bacteria,Cyanobacteria,Cyanobacteria/Melainabacteria group,,,,,,,Cyanobacteria/Melainabacteria group
Firmicutes_Tenericutes_3958,Bacteria,Firmicutes,Terrabacteria group,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas funiformis,,Megamonas funiformis
Firmicutes_Tenericutes_744,Bacteria,Tenericutes,Terrabacteria group,Mollicutes,Mycoplasmatales,Mycoplasmataceae,Mycoplasma,Mycoplasma orale,,Mycoplasma orale
Planctomycetes_53,Bacteria,Planctomycetes,PVC group,Planctomycetia,Pirellulales,Pirellulaceae,Rhodopirellula,Rhodopirellula baltica,Rhodopirellula baltica SH 1,Rhodopirellula baltica SH 1
Proteobacteria_1381,Bacteria,Proteobacteria,,Gammaproteobacteria,Vibrionales,Vibrionaceae,Photobacterium,Photobacterium profundum,Photobacterium profundum SS9,Photobacterium profundum SS9
Proteobacteria_1590,Bacteria,Proteobacteria,,Gammaproteobacteria,Cellvibrionales,Halieaceae,,,,Halieaceae
Proteobacteria_3975,Bacteria,Proteobacteria,,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,Rhodanobacter glycinis,,Rhodanobacter glycinis
Proteobacteria_4219,Bacteria,Proteobacteria,,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Thermomonas,Thermomonas sp. HDW16,,Thermomonas sp. HDW16
Proteobacteria_4237,Bacteria,Proteobacteria,,Gammaproteobacteria,Chromatiales,Woeseiaceae,Woeseia,Woeseia oceani,,Woeseia oceani
Proteobacteria_6074,Bacteria,Proteobacteria,,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Maribius,Maribius sp. THAF1,,Maribius sp. THAF1
