"","SampleID","Archaea","Bacteria","Unclassified"
"1","20ppt3C_1",0,0.997528618436103,0.00247138156389751
"2","20ppt3C_2",0,0.787324785652723,0.212675214347277
"3","20ppt3C_3",0,0.986679733707165,0.0133202662928346
"4","35ppt0C_1",0,0.983657230975458,0.0163427690245422
"5","35ppt0C_2",0,0.993514662873976,0.00648533712602374
"6","35ppt0C_3",0,0.9991141877811,0.000885812218899694
"7","50ppt-3C_1",0.000374926410651788,0.994563567045549,0.00506150654379914
"8","50ppt-3C_2",0.000280308282983826,0.999252511245377,0.00046718047163971
"9","50ppt-3C_3",0.000267867143415106,0.993839055701453,0.00589307715513232
"10","Ev32Core_A",0.00234180234690667,0.99630241734699,0.00135578030610386
"11","Ev32Core_B",0.00143486589847355,0.99005159643725,0.0085135376642764
"12","Ev32Core_C",0.00180082840393308,0.989420133126893,0.00877903846917376
"13","Ev37Core_A",0.00506679022823648,0.992289667043988,0.00264354272777555
"14","EvXCore_A",0.000526322803478592,0.982631347485207,0.0168423297113149
"15","Hero_1",0.00507860066215651,0.976928642706203,0.0179927566316402
"16","Hero_2",0,0.856377691529549,0.143622308470451
"17","Hero_3",0,0.80735285036899,0.19264714963101
"18","Station_B1_2",0.0245687154231146,0.959991593089043,0.0154396914878426
"19","Station_B1_3",0.0183697303620466,0.958696631111423,0.0229336385265302
"20","Station_B1_4",0.00116640699539089,0.979393476414761,0.0194401165898482
"21","Station_B2_1",0.0100659281671444,0.969279310139235,0.020654761693621
"22","Station_B2_2",0.00651496286101858,0.974796129077811,0.0186889080611701
"23","Station_B2_3",0.0120104096426136,0.973669486552732,0.0143201038046547
"24","Station_B3_1",0.00749327991256553,0.975736045997407,0.0167706740900276
"25","Station_B3_2",0.00921011021321369,0.9777243846006,0.0130655051861869
"26","Station_B3_3",0.00457645864520327,0.978510542013828,0.0169129993409686
"27","Station_B4_1",0.0047818414971679,0.975674980210059,0.0195431782927732
"28","Station_B4_2",0.0031890306266186,0.974886383815379,0.0219245855580028
"29","Station_B4_3",0.00521943883558331,0.98058368753163,0.0141968736327866
"30","Station_B5_1",0.00378555974312877,0.978177361480787,0.0180370787760841
"31","Station_B5_2",0.00163203737551398,0.97551943936729,0.0228485232571958
"32","Station_B5_3",0.00318243829948846,0.973417280086626,0.0234002816138857
