"","Full compound name","Meltwater_A","Meltwater_B","Meltwater_C","Meltwater_T-S_A","Meltwater_T-S_B","Meltwater_T-S_C","Sea ice_1_A","Sea ice_1_B","Sea ice_1_C","Sea ice_2","Sea ice_T-S_A","Sea ice_T-S_B","Sea ice_T-S_C","SW_08_A","SW_08_B","SW_08_C","SW_12_A","SW_12_B","SW_12_C","SW_15_A","SW_15_B","SW_15_C","SW_17_A","SW_17_B","SW_17_C","SW_19_A","SW_19_B","SW_19_C","SW_T-S_A","SW_T-S_B","SW_T-S_C"
"1","(3-Carboxypropyl)trimethylammonium (TMAB)",0.0739170657575811,0.130707061260064,0.136870899931922,0.290517812680705,0.317096620948705,0.247110117373967,7.76432822506468,1.79579755865727,0.788759343111835,2.11465082549408,0.196805650181922,0.171845106428779,0.316135107442052,0.116054097493123,0.0902900832036984,0.143453382130589,0.17719861163093,0.112410315467456,0.158492078904272,0.174703849588319,0.140866895833671,0.168749128648591,0.217936675340597,0.194725498861515,0.235915716480452,0.234831129736494,0.353316780264831,0.234870270060391,0.321711185176327,0.284995941443587,0.331398000378966
"2","(Iso)leucine",2.64252955469512,1.82073546847992,1.46535305840726,2.00931287460033,2.31076816249786,2.86601335603116,129.005560731611,6.72775306860687,6.94822591240096,40.2765224351994,4.26920770846101,3.76559714146901,3.74150244738492,0.526108546491324,0.561608367089661,0.540231515776105,0.826699566884736,0.631880431454507,1.03380740486467,0.849193631588917,1.0117748245937,0.978930141519708,7.36619465326894,2.06350621086556,7.02551093859922,17.0891198205422,2.27111611868151,15.2849710030525,35.1900305716033,33.6737002537933,38.820303747449
"3","4-Hydroxyisoleucine",1.97803331342736,1.21245135690136,1.32696316871056,0.75648481671835,0.76417539008337,0.716293258614458,20.0550428140243,2.67726226545187,2.43326583890138,12.3174638346806,2.27289401951019,2.86142580754326,4.48950701800737,0.447199774430892,0.474278590687921,0.431952441424168,0.765005567558467,0.433593814135531,0.710047172219294,0.603428540732847,0.637676490444737,0.604346317155576,2.20204764695192,1.78647613297627,2.24430011125236,1.73748404420331,1.67167397635607,0.940946838437914,2.95479277919819,2.63738678285749,3.05759552908023
"4","6-Methyladenine",0.00188015421807842,0.00131170961058825,0.00112883475157089,0.00374106535095372,0.00431060353596911,0.00455550922655178,0.00955008229376322,0.00398654190444559,0.0127492736082712,0.0166950349445147,0.00710308955997399,0.00736009943408009,0.00206396800326622,0.000529647640880897,0.00237040196942944,0.00106906078313463,0.00202704167431333,0.00158198229809585,0.0011533829946887,0.00171673676440226,0.00203845145900337,0.00217108192427088,0.00471771061228203,0.0020267279345668,0.00302131469378427,0.00235619959621574,0.00498272954481169,0.00340608546908998,0.0100246408364268,0.0126605538293016,0.00799627282380085
"5","Acetyl-L-carnitine",0.115900325368378,0.22455695132484,0.212220123752169,2.12145800545635,2.4046324688758,2.03979524876912,5.96936335783389,1.98268802042718,1.18442900334207,2.17848616527923,0.329472011667181,0.282561505969772,0.498435677320524,0.130101048484447,0.0902389889764972,0.141948999979322,0.19098160962055,0.137836529164129,0.225421602603747,0.223940743925547,0.209431102472293,0.21838816421148,0.421636414142949,0.422598842562594,0.360769352209993,0.334715998626176,0.356061104097121,0.412433817599598,1.65290251095383,0.998785879052081,1.45006118208763
"6","Adenine",0.648013246561142,0.558282066094409,0.640362683572362,1.97047792426334,1.34781728214074,1.1678577193497,15.1759182771574,3.70995227307418,2.66846253975424,3.31665412949028,0.660926558687588,0.644941566315369,0.949645816025229,0.118125875892042,0.287029892112928,0.155005333305799,0.328066240559278,0.145535058234868,0.172232722696481,0.218609612941422,0.335158349880617,0.213467434757909,0.359776522992149,0.235452681305556,0.232731763845427,1.2542698488278,0.725349659717737,0.463312841702967,1.56182818912321,2.55136079473698,1.70364654955483
"7","Adenosine",0.639466843740767,0.73742663266849,0.834669608872625,19.2141709842822,20.2567119057622,13.5567919055698,93.4361578241273,19.9523658430903,10.7417135139074,32.0623136650171,8.4775595836905,8.22792685326316,9.23659701289589,0.2473715251792,0.365279490301421,0.408605493602995,0.894038847536237,0.654754160138617,0.838964233185065,0.819472100753756,1.22754067522424,1.12635261576247,2.05214183527903,1.5673483614081,1.49632856970108,2.24721954209079,1.23625481915357,1.29579644282489,8.48333412619293,8.80862749442061,6.19062406927798
"8","Adenosyl Homocysteine",0.00998717451137852,0.00497528489642909,0.00603433356338981,0.760339068570382,1.63724140854537,1.67918738958132,0.447238485445243,2.48381498574894e-05,2.22174377416314e-05,2.07748571906168e-05,0.14287761314977,0.217943692774462,0.183394635191854,0.012978343306503,0.0105936257347053,0.0163076890721601,0.0541223178480082,0.0204993104738393,0.0683050450557964,0.0645948538704903,0.0717278353161401,0.0541097700542151,0.0816739253053852,0.21177225057282,0.0667025202594185,0.0122071535631692,0.0383272753413178,0.0466518899288304,1.4299619155253,0.86397751951555,0.543062316679573
"9","Alanine",1.74322931126202,3.60080159831839,3.01089865298748,127.435028234518,127.430031603078,125.654033733822,159.64600947359,25.7044676480568,13.8852474009126,46.961152687618,133.863278136606,109.832942444862,195.507204742717,18.9961072582228,19.7290083209968,24.6656207281286,49.4433989139011,31.1584385684561,53.7032168302525,48.8997531672704,72.8120643292532,75.4934723916597,126.818382616763,128.910365047193,114.118332272806,109.23633889868,122.773857448889,133.3450822277,508.312209980581,476.238268448817,683.296502849062
"10","Anserine",0.044536820265306,0.0292209906718071,0.031656073227791,0.0367026237088457,0.0318264486547711,0.0112752909768542,0.102868614956294,0.0251730521712021,0.0252416254610641,0.00810486911906938,0.00883716243894452,0.00670405426402688,0.00777670294627118,0.0104158692555958,0.00978460445222631,0.0107630648974489,0.0143507531965986,0.0117415253426716,0.016994312995972,0.0220450830008403,0.0237741091185532,0.0231499678290447,0.00704130477382573,0.00704130477382573,0.00568885903982872,0.00897089310126837,0.00811280767419052,0.0062198192168794,0.00939954347186434,0.00939954347186434,0.00747143199045627
