"","CultureID_short","Sample_type","molFractionN_pertotalN","total_mmol","Identification","Emperical.Formula","Contains_N","Contains_S"
"841","Hero1","Melted_hero",0.000446333333333333,2.487340006,"Muramic acid †","C9H17NO7","yes","no"
"842","StaB1","SW_Station B1",0.00014522,4.50595275168,"Muramic acid †","C9H17NO7","yes","no"
"843","StaB2","SW_Station B2",8.76666666666667e-05,3.49105586,"Muramic acid †","C9H17NO7","yes","no"
"844","StaB3","SW_Station B3",3.59e-05,3.02653721546667,"Muramic acid †","C9H17NO7","yes","no"
"845","StaB4","SW_Station B4",1.53333333333333e-05,4.40089132708333,"Muramic acid †","C9H17NO7","yes","no"
"846","StaB5","SW_Station B5",2.01333333333333e-05,3.3043087038,"Muramic acid †","C9H17NO7","yes","no"
"847","20ppt3C","Exp_Melted",0.2376311,5.03638960083333,"N-Acetylserine †","C5H9NO4","yes","no"
"848","35ppt0C","Exp_Ambient",0.1070907,5.92183442183333,"N-Acetylserine †","C5H9NO4","yes","no"
"849","50ppt-3C","Exp_Frozen",0.0381666666666667,6.15430778015333,"N-Acetylserine †","C5H9NO4","yes","no"
"850","Hero1","Melted_hero",0.3422841,2.487340006,"N-Acetylserine †","C5H9NO4","yes","no"
"851","StaB1","SW_Station B1",0.1257898,4.50595275168,"N-Acetylserine †","C5H9NO4","yes","no"
"852","StaB2","SW_Station B2",0.178126233333333,3.49105586,"N-Acetylserine †","C5H9NO4","yes","no"
"853","StaB3","SW_Station B3",0.169027466666667,3.02653721546667,"N-Acetylserine †","C5H9NO4","yes","no"
"854","StaB4","SW_Station B4",0.0864,4.40089132708333,"N-Acetylserine †","C5H9NO4","yes","no"
"855","StaB5","SW_Station B5",0.0774666666666667,3.3043087038,"N-Acetylserine †","C5H9NO4","yes","no"
"856","20ppt3C","Exp_Melted",0.000568,5.03638960083333,"N-Acetylglucosamine †","C8H15NO6","yes","no"
"857","35ppt0C","Exp_Ambient",0.00100066666666667,5.92183442183333,"N-Acetylglucosamine †","C8H15NO6","yes","no"
"858","50ppt-3C","Exp_Frozen",0.000337,6.15430778015333,"N-Acetylglucosamine †","C8H15NO6","yes","no"
"859","Hero1","Melted_hero",0.000731666666666667,2.487340006,"N-Acetylglucosamine †","C8H15NO6","yes","no"
"860","StaB1","SW_Station B1",0.003812,4.50595275168,"N-Acetylglucosamine †","C8H15NO6","yes","no"
"861","StaB2","SW_Station B2",0.00149333333333333,3.49105586,"N-Acetylglucosamine †","C8H15NO6","yes","no"
"862","StaB3","SW_Station B3",0.00124,3.02653721546667,"N-Acetylglucosamine †","C8H15NO6","yes","no"
"863","StaB4","SW_Station B4",0.00119,4.40089132708333,"N-Acetylglucosamine †","C8H15NO6","yes","no"
"864","StaB5","SW_Station B5",0.000948333333333333,3.3043087038,"N-Acetylglucosamine †","C8H15NO6","yes","no"
"865","20ppt3C","Exp_Melted",1.86e-05,5.03638960083333,"N-acetyltaurine †*","C4H9NO4S","yes","yes"
"866","35ppt0C","Exp_Ambient",0.000145,5.92183442183333,"N-acetyltaurine †*","C4H9NO4S","yes","yes"
"867","50ppt-3C","Exp_Frozen",0.000186666666666667,6.15430778015333,"N-acetyltaurine †*","C4H9NO4S","yes","yes"
"868","Hero1","Melted_hero",8.14333333333333e-06,2.487340006,"N-acetyltaurine †*","C4H9NO4S","yes","yes"
"869","StaB1","SW_Station B1",0.0003302,4.50595275168,"N-acetyltaurine †*","C4H9NO4S","yes","yes"
"870","StaB2","SW_Station B2",0.000203666666666667,3.49105586,"N-acetyltaurine †*","C4H9NO4S","yes","yes"
"871","StaB3","SW_Station B3",0.000145666666666667,3.02653721546667,"N-acetyltaurine †*","C4H9NO4S","yes","yes"
"872","StaB4","SW_Station B4",0.000196666666666667,4.40089132708333,"N-acetyltaurine †*","C4H9NO4S","yes","yes"
"873","StaB5","SW_Station B5",0.000158,3.3043087038,"N-acetyltaurine †*","C4H9NO4S","yes","yes"
"874","20ppt3C","Exp_Melted",0.000296766666666667,5.03638960083333,"N(e)-Acetyl-Lysine †","C8H16N2O3","yes","no"
"875","35ppt0C","Exp_Ambient",0.000382,5.92183442183333,"N(e)-Acetyl-Lysine †","C8H16N2O3","yes","no"
"876","50ppt-3C","Exp_Frozen",0.00173,6.15430778015333,"N(e)-Acetyl-Lysine †","C8H16N2O3","yes","no"
"877","Hero1","Melted_hero",0.00111,2.487340006,"N(e)-Acetyl-Lysine †","C8H16N2O3","yes","no"
"878","StaB1","SW_Station B1",0.0003426,4.50595275168,"N(e)-Acetyl-Lysine †","C8H16N2O3","yes","no"
"879","StaB2","SW_Station B2",0.000203666666666667,3.49105586,"N(e)-Acetyl-Lysine †","C8H16N2O3","yes","no"
"880","StaB3","SW_Station B3",0.000223,3.02653721546667,"N(e)-Acetyl-Lysine †","C8H16N2O3","yes","no"
"881","StaB4","SW_Station B4",0.000257,4.40089132708333,"N(e)-Acetyl-Lysine †","C8H16N2O3","yes","no"
"882","StaB5","SW_Station B5",0.000207,3.3043087038,"N(e)-Acetyl-Lysine †","C8H16N2O3","yes","no"
"883","20ppt3C","Exp_Melted",9.54e-07,5.03638960083333,"NAD †","C21H27N7O14P2","yes","no"
"884","35ppt0C","Exp_Ambient",7.01666666666667e-07,5.92183442183333,"NAD †","C21H27N7O14P2","yes","no"
"885","50ppt-3C","Exp_Frozen",0.00219,6.15430778015333,"NAD †","C21H27N7O14P2","yes","no"
"886","Hero1","Melted_hero",6.32666666666667e-06,2.487340006,"NAD †","C21H27N7O14P2","yes","no"
"887","StaB1","SW_Station B1",2.326e-06,4.50595275168,"NAD †","C21H27N7O14P2","yes","no"
"888","StaB2","SW_Station B2",1.13633333333333e-06,3.49105586,"NAD †","C21H27N7O14P2","yes","no"
"889","StaB3","SW_Station B3",0.000329666666666667,3.02653721546667,"NAD †","C21H27N7O14P2","yes","no"
"890","StaB4","SW_Station B4",1.03866666666667e-06,4.40089132708333,"NAD †","C21H27N7O14P2","yes","no"
"891","StaB5","SW_Station B5",9.32666666666667e-07,3.3043087038,"NAD †","C21H27N7O14P2","yes","no"
"892","20ppt3C","Exp_Melted",0.000233666666666667,5.03638960083333,"Ophthalmate †","C11H19N3O6","yes","no"
"893","35ppt0C","Exp_Ambient",0.000329333333333333,5.92183442183333,"Ophthalmate †","C11H19N3O6","yes","no"
"894","50ppt-3C","Exp_Frozen",0.000439333333333333,6.15430778015333,"Ophthalmate †","C11H19N3O6","yes","no"
"895","Hero1","Melted_hero",0.000804333333333333,2.487340006,"Ophthalmate †","C11H19N3O6","yes","no"
"896","StaB1","SW_Station B1",0.000712,4.50595275168,"Ophthalmate †","C11H19N3O6","yes","no"
"897","StaB2","SW_Station B2",0.000535,3.49105586,"Ophthalmate †","C11H19N3O6","yes","no"
"898","StaB3","SW_Station B3",0.000509666666666667,3.02653721546667,"Ophthalmate †","C11H19N3O6","yes","no"
"899","StaB4","SW_Station B4",0.000604,4.40089132708333,"Ophthalmate †","C11H19N3O6","yes","no"
"900","StaB5","SW_Station B5",0.000525,3.3043087038,"Ophthalmate †","C11H19N3O6","yes","no"
"901","20ppt3C","Exp_Melted",0.2061753,5.03638960083333,"Ornithine †","C5H12N2O2","yes","no"
"902","35ppt0C","Exp_Ambient",0.2028424,5.92183442183333,"Ornithine †","C5H12N2O2","yes","no"
"903","50ppt-3C","Exp_Frozen",0.0925111,6.15430778015333,"Ornithine †","C5H12N2O2","yes","no"
"904","Hero1","Melted_hero",0.0820710333333333,2.487340006,"Ornithine †","C5H12N2O2","yes","no"
"905","StaB1","SW_Station B1",0.04736,4.50595275168,"Ornithine †","C5H12N2O2","yes","no"
"906","StaB2","SW_Station B2",0.0161333333333333,3.49105586,"Ornithine †","C5H12N2O2","yes","no"
