"","CultureID_short","Sample_type","molFractionC_pertotalC","total_mmol","Identification","Emperical.Formula","Contains_N","Contains_S"
"47","35ppt0C","Exp_Ambient",8.57e-06,4.03353305183333,"N6-Methyladenine †","C6H7N5","yes","no"
"48","50ppt-3C","Exp_Frozen",9.08333333333333e-06,3.98563384757333,"N6-Methyladenine †","C6H7N5","yes","no"
"49","Hero1","Melted_hero",1.14166666666667e-05,1.34416321036667,"N6-Methyladenine †","C6H7N5","yes","no"
"50","StaB1","SW_Station B1",1.3468e-05,3.53316924234,"N6-Methyladenine †","C6H7N5","yes","no"
"51","StaB2","SW_Station B2",8.55333333333333e-06,3.01257189273333,"N6-Methyladenine †","C6H7N5","yes","no"
"52","StaB3","SW_Station B3",6.59e-06,2.55934740726667,"N6-Methyladenine †","C6H7N5","yes","no"
"53","StaB4","SW_Station B4",9.50666666666667e-06,3.64243740004,"N6-Methyladenine †","C6H7N5","yes","no"
"54","StaB5","SW_Station B5",8.46666666666667e-06,3.12584895483333,"N6-Methyladenine †","C6H7N5","yes","no"
"55","20ppt3C","Exp_Melted",9.90493333333333e-05,2.48661013953333,"7-DHC","C27H44O","no","no"
"56","35ppt0C","Exp_Ambient",0.00011838,4.03353305183333,"7-DHC","C27H44O","no","no"
"57","50ppt-3C","Exp_Frozen",3.12333333333333e-07,3.98563384757333,"7-DHC","C27H44O","no","no"
"58","Hero1","Melted_hero",5.86e-05,1.34416321036667,"7-DHC","C27H44O","no","no"
"59","StaB1","SW_Station B1",3.142e-05,3.53316924234,"7-DHC","C27H44O","no","no"
"60","StaB2","SW_Station B2",1.63e-05,3.01257189273333,"7-DHC","C27H44O","no","no"
"61","StaB3","SW_Station B3",3.00666666666667e-05,2.55934740726667,"7-DHC","C27H44O","no","no"
"62","StaB4","SW_Station B4",2.98333333333333e-05,3.64243740004,"7-DHC","C27H44O","no","no"
"63","StaB5","SW_Station B5",2.84666666666667e-05,3.12584895483333,"7-DHC","C27H44O","no","no"
"64","20ppt3C","Exp_Melted",0.00183333333333333,2.48661013953333,"Acetyl-L-carnitine †","C9H17NO4","yes","no"
"65","35ppt0C","Exp_Ambient",0.00113966666666667,4.03353305183333,"Acetyl-L-carnitine †","C9H17NO4","yes","no"
"66","50ppt-3C","Exp_Frozen",0.000599666666666667,3.98563384757333,"Acetyl-L-carnitine †","C9H17NO4","yes","no"
"67","Hero1","Melted_hero",0.00145966666666667,1.34416321036667,"Acetyl-L-carnitine †","C9H17NO4","yes","no"
"68","StaB1","SW_Station B1",0.001532,3.53316924234,"Acetyl-L-carnitine †","C9H17NO4","yes","no"
"69","StaB2","SW_Station B2",0.000998,3.01257189273333,"Acetyl-L-carnitine †","C9H17NO4","yes","no"
"70","StaB3","SW_Station B3",0.000725,2.55934740726667,"Acetyl-L-carnitine †","C9H17NO4","yes","no"
"71","StaB4","SW_Station B4",0.00117,3.64243740004,"Acetyl-L-carnitine †","C9H17NO4","yes","no"
"72","StaB5","SW_Station B5",0.000868333333333333,3.12584895483333,"Acetyl-L-carnitine †","C9H17NO4","yes","no"
"73","20ppt3C","Exp_Melted",5.51e-05,2.48661013953333,"Acetylglutamic acid †","C7H11NO5","yes","no"
"74","35ppt0C","Exp_Ambient",0.000914,4.03353305183333,"Acetylglutamic acid †","C7H11NO5","yes","no"
"75","50ppt-3C","Exp_Frozen",0.000142666666666667,3.98563384757333,"Acetylglutamic acid †","C7H11NO5","yes","no"
"76","Hero1","Melted_hero",0.000742666666666667,1.34416321036667,"Acetylglutamic acid †","C7H11NO5","yes","no"
"77","StaB1","SW_Station B1",0.0013024,3.53316924234,"Acetylglutamic acid †","C7H11NO5","yes","no"
