"","MDS1","MDS2","species","r","pval","qval"
"Adenine",-0.597651583234429,0.703651993080756,"Adenine",0.85231354230914,0.000999000999000999,0.00247900247900248
"Alanine",0.525054544368373,-0.624081394829869,"Alanine",0.665159861934674,0.000999000999000999,0.00247900247900248
"Betaine",-0.299207311013455,0.60809500012027,"Betaine",0.459304544135174,0.000999000999000999,0.00247900247900248
"Cytosine",-0.287080716955691,0.522688103693247,"Cytosine",0.355618191790236,0.00699300699300699,0.0131980695360977
"Guanine",-0.491940654853092,0.520151561401749,"Guanine",0.512563254725966,0.000999000999000999,0.00247900247900248
"Histidine",-0.611491688423088,0.548111906738447,"Histidine",0.674348747318975,0.000999000999000999,0.00247900247900248
"Homarine",0.332346833855462,0.55173370276535,"Homarine",0.414864496740914,0.003996003996004,0.00823791593022362
"Methionine",-0.294470804240288,-0.300164448860619,"Methionine",0.176811750909721,0.0739260739260739,0.0934537160952255
"Proline",0.929366775990913,0.349521232278527,"Proline",0.985887696129244,0.000999000999000999,0.00247900247900248
"AMP",-0.459738153586386,-0.210677321730893,"AMP",0.255744103754722,0.035964035964036,0.0507282191492718
"Cysteic Acid",-0.590655427553491,0.66269434016173,"Cysteic Acid",0.788037622580788,0.000999000999000999,0.00247900247900248
"GMP",-0.451944166771982,0.00904095025019344,"GMP",0.204335268660648,0.0529470529470529,0.0709490509490509
"Isethionic Acid",-0.103387562545469,-0.399761235342938,"Isethionic Acid",0.170498033372005,0.0769230769230769,0.096333572969087
"Taurine",0.4943417322405,-0.271229480898394,"Taurine",0.31793917954295,0.004995004995005,0.00999000999000999
