"","SampID","Identification","CultureID_short","Sample_type","nmolCave","total_mmol"
"57","20ppt3C_A","Gluconic Acid","20ppt3C","Exp_Melted",10.09811734,3058.682346114
"58","20ppt3C_A","Glucose 1 phosphate","20ppt3C","Exp_Melted",56.13194824,3058.682346114
"59","20ppt3C_A","Glucose 6 phosphate","20ppt3C","Exp_Melted",83.43975169,3058.682346114
"60","20ppt3C_A","Glucosylglycerol","20ppt3C","Exp_Melted",428.5075632,3058.682346114
"61","20ppt3C_A","Glutamic acid","20ppt3C","Exp_Melted",132.8934334,3058.682346114
"62","20ppt3C_A","Glutamine","20ppt3C","Exp_Melted",349.2072563,3058.682346114
"63","20ppt3C_A","Glutathione","20ppt3C","Exp_Melted",0.486045496,3058.682346114
"64","20ppt3C_A","Glutathione Disulfide","20ppt3C","Exp_Melted",23.05361692,3058.682346114
"65","20ppt3C_A","glycerol 3 phosphate","20ppt3C","Exp_Melted",7.407145456,3058.682346114
"66","20ppt3C_A","Glycerophosphocholine","20ppt3C","Exp_Melted",134.6840632,3058.682346114
"67","20ppt3C_A","Glycine","20ppt3C","Exp_Melted",4.578943281,3058.682346114
"68","20ppt3C_A","GMP","20ppt3C","Exp_Melted",8.369984785,3058.682346114
"69","20ppt3C_A","Gonyol","20ppt3C","Exp_Melted",10.74126691,3058.682346114
"70","20ppt3C_A","Guanine","20ppt3C","Exp_Melted",1.933809996,3058.682346114
"71","20ppt3C_A","Guanosine","20ppt3C","Exp_Melted",8.604542523,3058.682346114
"72","20ppt3C_A","Histidine","20ppt3C","Exp_Melted",9.597145899,3058.682346114
"73","20ppt3C_A","Homarine","20ppt3C","Exp_Melted",13.48036908,3058.682346114
"74","20ppt3C_A","Homoserine","20ppt3C","Exp_Melted",17.60682713,3058.682346114
"75","20ppt3C_A","Hydroxo B12","20ppt3C","Exp_Melted",0.402475409,3058.682346114
"76","20ppt3C_A","Hypotaurine","20ppt3C","Exp_Melted",13.07033795,3058.682346114
"77","20ppt3C_A","Hypoxanthine","20ppt3C","Exp_Melted",10.88557797,3058.682346114
"78","20ppt3C_A","IAA","20ppt3C","Exp_Melted",0.300525791,3058.682346114
"79","20ppt3C_A","Indole 3 acetamide","20ppt3C","Exp_Melted",0.004489822,3058.682346114
"80","20ppt3C_A","Indole 3 methyl acetate","20ppt3C","Exp_Melted",0.011390696,3058.682346114
"81","20ppt3C_A","Inosine","20ppt3C","Exp_Melted",12.05319901,3058.682346114
"82","20ppt3C_A","Isethionic Acid","20ppt3C","Exp_Melted",126.3931013,3058.682346114
"83","20ppt3C_A","Isobutyryl-L-carnitine","20ppt3C","Exp_Melted",0.87131434,3058.682346114
"84","20ppt3C_A","Ketoglutaric Acid","20ppt3C","Exp_Melted",2.638490567,3058.682346114
"85","20ppt3C_A","Kynurenine","20ppt3C","Exp_Melted",0.050936937,3058.682346114
"86","20ppt3C_A","L-Pyroglutamic acid","20ppt3C","Exp_Melted",21.22874293,3058.682346114
"87","20ppt3C_A","Leucine","20ppt3C","Exp_Melted",2.009312875,3058.682346114
"88","20ppt3C_A","Lysine","20ppt3C","Exp_Melted",100.3998056,3058.682346114
"89","20ppt3C_A","Methionine","20ppt3C","Exp_Melted",16.91733549,3058.682346114
"90","20ppt3C_A","Methionine Sulfoxide","20ppt3C","Exp_Melted",17.70403966,3058.682346114
"91","20ppt3C_A","Methylmalonyl carnitine","20ppt3C","Exp_Melted",0.07278623,3058.682346114
"92","20ppt3C_A","Methylthioadenosine","20ppt3C","Exp_Melted",0.262013668,3058.682346114
"93","20ppt3C_A","Muramic Acid","20ppt3C","Exp_Melted",4.02e-05,3058.682346114
"94","20ppt3C_A","N-Acetyl-Serine","20ppt3C","Exp_Melted",113.5673404,3058.682346114
"95","20ppt3C_A","N-Acetylglucosamine","20ppt3C","Exp_Melted",1.026801054,3058.682346114
"96","20ppt3C_A","N-acetyltaurine","20ppt3C","Exp_Melted",0.016354235,3058.682346114
"97","20ppt3C_A","N(e)-Acetyl-Lysine","20ppt3C","Exp_Melted",0.010379195,3058.682346114
"98","20ppt3C_A","NAD","20ppt3C","Exp_Melted",0.000454,3058.682346114
"99","20ppt3C_A","Ophthalmic Acid","20ppt3C","Exp_Melted",0.12836398,3058.682346114
"100","20ppt3C_A","Ornithine","20ppt3C","Exp_Melted",48.78722725,3058.682346114
"101","20ppt3C_A","Orotic Acid","20ppt3C","Exp_Melted",0.151528496,3058.682346114
"102","20ppt3C_A","PEP","20ppt3C","Exp_Melted",0.481458471,3058.682346114
"103","20ppt3C_A","Phenylalanine","20ppt3C","Exp_Melted",52.32495506,3058.682346114
"104","20ppt3C_A","Phosphoglyceric Acid","20ppt3C","Exp_Melted",0.909845223,3058.682346114
"105","20ppt3C_A","Proline","20ppt3C","Exp_Melted",23.60218309,3058.682346114
"106","20ppt3C_A","Propionyl-L-carnitine","20ppt3C","Exp_Melted",0.121607687,3058.682346114
"107","20ppt3C_A","Propionylglycine","20ppt3C","Exp_Melted",0.02580969,3058.682346114
"108","20ppt3C_A","Pyridoxal","20ppt3C","Exp_Melted",0.030197889,3058.682346114
"109","20ppt3C_A","Resorcylic Acid","20ppt3C","Exp_Melted",0.00590932,3058.682346114
"110","20ppt3C_A","Ribose 5 phosphate","20ppt3C","Exp_Melted",5.982078964,3058.682346114
"111","20ppt3C_A","RP B12","20ppt3C","Exp_Melted",0.107192373,3058.682346114
"112","20ppt3C_A","Serine","20ppt3C","Exp_Melted",12.08718171,3058.682346114
"113","20ppt3C_A","Stachydrine hydrochloride","20ppt3C","Exp_Melted",0.094279992,3058.682346114
"114","20ppt3C_A","Sulfurol","20ppt3C","Exp_Melted",0.002437448,3058.682346114
"115","20ppt3C_A","Taurine","20ppt3C","Exp_Melted",17.91134576,3058.682346114
"116","20ppt3C_A","Thiamine monophosphate","20ppt3C","Exp_Melted",0.050189903,3058.682346114
"117","20ppt3C_A","Threonic acid","20ppt3C","Exp_Melted",41.55551575,3058.682346114
"118","20ppt3C_A","Threonine","20ppt3C","Exp_Melted",64.80630133,3058.682346114
"119","20ppt3C_A","trans Hydroxyl proline","20ppt3C","Exp_Melted",0.648493666,3058.682346114
"120","20ppt3C_A","Trigonelline","20ppt3C","Exp_Melted",5.427582646,3058.682346114
"121","20ppt3C_A","Trimethyl-L-lysine","20ppt3C","Exp_Melted",0.254920636,3058.682346114
"122","20ppt3C_A","Trimethylamine N-oxide","20ppt3C","Exp_Melted",0.765966951,3058.682346114
"123","20ppt3C_A","Trimethylammonium Propionate (TMAP)","20ppt3C","Exp_Melted",4.622844848,3058.682346114
"124","20ppt3C_A","Tryptophan","20ppt3C","Exp_Melted",14.74825134,3058.682346114
"125","20ppt3C_A","Turicine","20ppt3C","Exp_Melted",0.016491678,3058.682346114
"126","20ppt3C_A","Tyrosine","20ppt3C","Exp_Melted",32.80063823,3058.682346114
"127","20ppt3C_A","UDP-glucosamine","20ppt3C","Exp_Melted",8.669844079,3058.682346114
"128","20ppt3C_A","UDP-glucose","20ppt3C","Exp_Melted",5.564987093,3058.682346114
"129","20ppt3C_A","Uridine","20ppt3C","Exp_Melted",23.07392377,3058.682346114
"130","20ppt3C_A","Vitamin B1","20ppt3C","Exp_Melted",0.807251299,3058.682346114
"131","20ppt3C_A","Vitamin B2","20ppt3C","Exp_Melted",0.077952286,3058.682346114
"132","20ppt3C_A","Vitamin B3","20ppt3C","Exp_Melted",15.00061599,3058.682346114
"133","20ppt3C_A","Vitamin B5","20ppt3C","Exp_Melted",0.066785491,3058.682346114
"134","20ppt3C_A","Vitamin B6","20ppt3C","Exp_Melted",0.013705695,3058.682346114
"135","20ppt3C_A","Xanthine","20ppt3C","Exp_Melted",3.82420614,3058.682346114
"136","20ppt3C_B","(3-Carboxypropyl)trimethylammonium (TMAB)","20ppt3C","Exp_Melted",0.317096621,2817.90629494
"137","20ppt3C_B","3OC12-HSL","20ppt3C","Exp_Melted",0.008995582,2817.90629494
"138","20ppt3C_B","3OC8-HSL","20ppt3C","Exp_Melted",0.003967878,2817.90629494
"139","20ppt3C_B","3OHC12-HSL","20ppt3C","Exp_Melted",0.006846158,2817.90629494
