"","SampleID","variable","value","superkingdom","phylum","clade","class","order","family","genus","species","strain","taxon"
"31","dockslush_3","archaea_173",35,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
"32","Hero11","archaea_173",26,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
"33","Hero12","archaea_173",0,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
"34","Hero13","archaea_173",0,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
"35","iceslush","archaea_173",0,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
"36","blankMQ121118","archaea_173",0,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
"37","B12","archaea_173",260,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
"38","B13","archaea_173",201,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
"39","B14","archaea_173",0,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
"40","B21","archaea_173",0,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
"41","B22","archaea_173",78,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
"42","B23","archaea_173",56,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
"43","B51","archaea_173",11,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
"44","B52","archaea_173",7,"Archaea","Thaumarchaeota","TACK group","","Nitrosopumilales","Nitrosopumilaceae","Nitrosopumilus","Nitrosopumilus oxyclinae","","Nitrosopumilus oxyclinae"
