"","SampleID","variable","value","variable2"
"95","B13","Firmicutes_Tenericutes_748",234,"Candidatus Nasuia"
"96","B14","Firmicutes_Tenericutes_748",1554,"Candidatus Nasuia"
"97","B21","Firmicutes_Tenericutes_748",350,"Candidatus Nasuia"
"98","B22","Firmicutes_Tenericutes_748",753,"Candidatus Nasuia"
"99","B23","Firmicutes_Tenericutes_748",279,"Candidatus Nasuia"
"100","B51","Firmicutes_Tenericutes_748",732,"Candidatus Nasuia"
"101","B52","Firmicutes_Tenericutes_748",908,"Candidatus Nasuia"
"102","B53","Firmicutes_Tenericutes_748",1186,"Candidatus Nasuia"
"103","Barrow_Blank1","Firmicutes_Tenericutes_748",232,"Candidatus Nasuia"
"104","Barrow_Blank2","Firmicutes_Tenericutes_748",0,"Candidatus Nasuia"
"105","Barrow_S1IC4","Firmicutes_Tenericutes_748",46,"Candidatus Nasuia"
"106","Barrow_S1IC5","Firmicutes_Tenericutes_748",187,"Candidatus Nasuia"
"107","Barrow_S1IC6","Firmicutes_Tenericutes_748",1060,"Candidatus Nasuia"
"108","Barrow_S2C1D","Firmicutes_Tenericutes_748",833,"Candidatus Nasuia"
"109","Barrow_S2C2","Firmicutes_Tenericutes_748",441,"Candidatus Nasuia"
"110","Barrow_S2C3","Firmicutes_Tenericutes_748",411,"Candidatus Nasuia"
"111","mock_1","Firmicutes_Tenericutes_748",0,"Candidatus Nasuia"
"112","mock_2","Firmicutes_Tenericutes_748",0,"Candidatus Nasuia"
"113","mock_3","Firmicutes_Tenericutes_748",0,"Candidatus Nasuia"
"114","mock_4","Firmicutes_Tenericutes_748",0,"Candidatus Nasuia"
"115","B31","Proteobacteria_6937",470.625,"Marinomonas"
"116","B32","Proteobacteria_6937",416.25,"Marinomonas"
"117","B33","Proteobacteria_6937",358.125,"Marinomonas"
"118","B41","Proteobacteria_6937",615,"Marinomonas"
"119","B42","Proteobacteria_6937",416.75,"Marinomonas"
"120","B43","Proteobacteria_6937",531.875,"Marinomonas"
"121","blank771","Proteobacteria_6937",168,"Marinomonas"
"122","blank772","Proteobacteria_6937",0,"Marinomonas"
"123","blankdry1","Proteobacteria_6937",44.125,"Marinomonas"
"124","blankdry2","Proteobacteria_6937",0,"Marinomonas"
"125","blankFiltSW1","Proteobacteria_6937",0,"Marinomonas"
"126","blankFiltSW2","Proteobacteria_6937",0,"Marinomonas"
"127","blankMQ191118","Proteobacteria_6937",118.125,"Marinomonas"
"128","Carboy1","Proteobacteria_6937",653.5,"Marinomonas"
"129","Carboy2","Proteobacteria_6937",731.5,"Marinomonas"
"130","Carboy3","Proteobacteria_6937",473,"Marinomonas"
"131","Carboy4","Proteobacteria_6937",545.75,"Marinomonas"
"132","Carboy5","Proteobacteria_6937",660.375,"Marinomonas"
"133","Carboy6","Proteobacteria_6937",625.75,"Marinomonas"
"134","Carboy7","Proteobacteria_6937",429.125,"Marinomonas"
"135","Carboy8","Proteobacteria_6937",1603.125,"Marinomonas"
"136","Carboy9","Proteobacteria_6937",1022.25,"Marinomonas"
"137","core_1","Proteobacteria_6937",368,"Marinomonas"
"138","core_2","Proteobacteria_6937",395.5,"Marinomonas"
"139","core_3","Proteobacteria_6937",241,"Marinomonas"
"140","core_4","Proteobacteria_6937",136.375,"Marinomonas"
"141","core_6","Proteobacteria_6937",41.375,"Marinomonas"
"142","CTDSW","Proteobacteria_6937",1348.625,"Marinomonas"
"143","dockslush_1","Proteobacteria_6937",693.5,"Marinomonas"
"144","dockslush_2","Proteobacteria_6937",33.375,"Marinomonas"
"145","dockslush_3","Proteobacteria_6937",578.5,"Marinomonas"
"146","Hero11","Proteobacteria_6937",551,"Marinomonas"
"147","Hero12","Proteobacteria_6937",353.375,"Marinomonas"
"148","Hero13","Proteobacteria_6937",128.5,"Marinomonas"
"149","iceslush","Proteobacteria_6937",39.125,"Marinomonas"
"150","blankMQ121118","Proteobacteria_6937",84.625,"Marinomonas"
"151","B12","Proteobacteria_6937",834.25,"Marinomonas"
"152","B13","Proteobacteria_6937",875.625,"Marinomonas"
"153","B14","Proteobacteria_6937",711.875,"Marinomonas"
"154","B21","Proteobacteria_6937",533,"Marinomonas"
"155","B22","Proteobacteria_6937",1178.875,"Marinomonas"
"156","B23","Proteobacteria_6937",585.75,"Marinomonas"
"157","B51","Proteobacteria_6937",454,"Marinomonas"
"158","B52","Proteobacteria_6937",390.5,"Marinomonas"
"159","B53","Proteobacteria_6937",474,"Marinomonas"
"160","Barrow_Blank1","Proteobacteria_6937",332.5,"Marinomonas"
"161","Barrow_Blank2","Proteobacteria_6937",38.125,"Marinomonas"
"162","Barrow_S1IC4","Proteobacteria_6937",95.625,"Marinomonas"
"163","Barrow_S1IC5","Proteobacteria_6937",197.875,"Marinomonas"
"164","Barrow_S1IC6","Proteobacteria_6937",671.25,"Marinomonas"
"165","Barrow_S2C1D","Proteobacteria_6937",592.25,"Marinomonas"
"166","Barrow_S2C2","Proteobacteria_6937",193.875,"Marinomonas"
"167","Barrow_S2C3","Proteobacteria_6937",279.75,"Marinomonas"
"168","mock_1","Proteobacteria_6937",0,"Marinomonas"
"169","mock_2","Proteobacteria_6937",0,"Marinomonas"
"170","mock_3","Proteobacteria_6937",0,"Marinomonas"
"171","mock_4","Proteobacteria_6937",1.875,"Marinomonas"
"172","B31","Bacteroidetes_1039",50.5,""
"173","B32","Bacteroidetes_1039",35,""
"174","B33","Bacteroidetes_1039",37,""
"175","B41","Bacteroidetes_1039",51.5,""
"176","B42","Bacteroidetes_1039",68,""
"177","B43","Bacteroidetes_1039",48.5,""
"178","blank771","Bacteroidetes_1039",635.5,""
