"","SampleID","variable","value"
"198","B13","Amastigomonas",526
"199","dockslush_1","Amastigomonas",376
"200","mock_1","Amastigomonas",0
"201","core_6","Amastigomonas",0
"202","mock_2","Amastigomonas",0
"203","hero_11","Amastigomonas",622
"204","hero_12","Amastigomonas",0
"205","Carboy6","Amastigomonas",0
"206","Carboy5","Amastigomonas",813
"207","blankMQ191118","Amastigomonas",71
"208","Barrow_S1IC4","Amastigomonas",70
"209","iceslush","Amastigomonas",0
"210","Barrow_S2C2","Amastigomonas",228
"211","Carboy3","Amastigomonas",853
"212","B23","Amastigomonas",366
"213","B33","Amastigomonas",330
"214","CTDSW","Amastigomonas",751
"215","Carboy9","Amastigomonas",91
"216","B43","Amastigomonas",416
"217","core_1","Amastigomonas",82
"218","B51","Amastigomonas",0
"219","B12","Amastigomonas",0
"220","B11","Amastigomonas",0
"221","core_2","Amastigomonas",126
"222","B52","Amastigomonas",16
"223","dockslush_3","Amastigomonas",0
"224","B14","Amastigomonas",98
"225","blank771","Amastigomonas",147
"226","core_4","Amastigomonas",134
"227","mock_3","Amastigomonas",0
"228","hero_13","Amastigomonas",0
"229","Carboy4","Amastigomonas",0
"230","Carboy7","Amastigomonas",0
"231","Barrow_S2C3","Amastigomonas",1640
"232","Carboy2","Amastigomonas",0
"233","Barrow_S1IC6","Amastigomonas",730
"234","B22","Amastigomonas",0
"235","Barrow_S2C1D","Amastigomonas",1277
"236","Barrow_S1IC5","Amastigomonas",649
"237","Carboy1","Amastigomonas",0
"238","B21","Amastigomonas",0
"239","B32","Amastigomonas",0
"240","Carboy8","Amastigomonas",0
"241","B31","Amastigomonas",0
"242","B42","Amastigomonas",0
"243","blankMQ121118","Amastigomonas",63
"244","Barrow_blank1","Amastigomonas",0
"245","B41","Amastigomonas",0
"246","Barrow_blank2","Amastigomonas",1057
"247","blankdry2","Amastigomonas",0
"248","blankFiltSW1","Amastigomonas",0
"249","core_3","Amastigomonas",263
"250","B53","Amastigomonas",0
"251","dockslush_2","Amastigomonas",0
"252","B13","Amastigomonas",0
"253","dockslush_1","Amastigomonas",0
"254","mock_1","Amastigomonas",0
"255","core_6","Amastigomonas",11
"256","mock_2","Amastigomonas",0
"257","hero_11","Amastigomonas",0
"258","hero_12","Amastigomonas",0
"259","Carboy6","Amastigomonas",0
"260","Carboy5","Amastigomonas",0
"261","blankMQ191118","Amastigomonas",19
"262","Barrow_S1IC4","Amastigomonas",212
"263","iceslush","Amastigomonas",0
"264","Barrow_S2C2","Amastigomonas",3036
"265","Carboy3","Amastigomonas",0
"266","B23","Amastigomonas",0
"267","B33","Amastigomonas",0
"268","CTDSW","Amastigomonas",0
"269","Carboy9","Amastigomonas",0
"270","B43","Amastigomonas",0
"271","core_1","Achnanthidium",476
"272","B51","Achnanthidium",33
"273","B12","Achnanthidium",116
"274","B11","Achnanthidium",61
"275","core_2","Achnanthidium",1223
"276","B52","Achnanthidium",136
"277","dockslush_3","Achnanthidium",74
"278","B14","Achnanthidium",468
"279","blank771","Achnanthidium",206
"280","core_4","Achnanthidium",15
"281","mock_3","Achnanthidium",0
"282","hero_13","Achnanthidium",1051
"283","Carboy4","Achnanthidium",44
"284","Carboy7","Achnanthidium",119
