"","SampleID","variable","value","variable2"
"175","B41","Bacteroidetes_1039",51.5,"Flavobacteriaceae"
"176","B42","Bacteroidetes_1039",68,"Flavobacteriaceae"
"177","B43","Bacteroidetes_1039",48.5,"Flavobacteriaceae"
"178","blank771","Bacteroidetes_1039",635.5,"Flavobacteriaceae"
"179","blank772","Bacteroidetes_1039",0,"Flavobacteriaceae"
"180","blankdry1","Bacteroidetes_1039",0,"Flavobacteriaceae"
"181","blankdry2","Bacteroidetes_1039",0,"Flavobacteriaceae"
"182","blankFiltSW1","Bacteroidetes_1039",0,"Flavobacteriaceae"
"183","blankFiltSW2","Bacteroidetes_1039",0,"Flavobacteriaceae"
"184","blankMQ191118","Bacteroidetes_1039",279,"Flavobacteriaceae"
"185","Carboy1","Bacteroidetes_1039",326.5,"Flavobacteriaceae"
"186","Carboy2","Bacteroidetes_1039",462,"Flavobacteriaceae"
"187","Carboy3","Bacteroidetes_1039",117.5,"Flavobacteriaceae"
"188","Carboy4","Bacteroidetes_1039",139,"Flavobacteriaceae"
"189","Carboy5","Bacteroidetes_1039",138.5,"Flavobacteriaceae"
"190","Carboy6","Bacteroidetes_1039",325,"Flavobacteriaceae"
"191","Carboy7","Bacteroidetes_1039",89,"Flavobacteriaceae"
"192","Carboy8","Bacteroidetes_1039",540.5,"Flavobacteriaceae"
"193","Carboy9","Bacteroidetes_1039",185.5,"Flavobacteriaceae"
"194","core_1","Bacteroidetes_1039",373.5,"Flavobacteriaceae"
"195","core_2","Bacteroidetes_1039",177,"Flavobacteriaceae"
"196","core_3","Bacteroidetes_1039",247.5,"Flavobacteriaceae"
"197","core_4","Bacteroidetes_1039",295,"Flavobacteriaceae"
"198","core_6","Bacteroidetes_1039",351.5,"Flavobacteriaceae"
"199","CTDSW","Bacteroidetes_1039",45,"Flavobacteriaceae"
"200","dockslush_1","Bacteroidetes_1039",86.5,"Flavobacteriaceae"
"201","dockslush_2","Bacteroidetes_1039",0,"Flavobacteriaceae"
