"","SampleID","variable","value"
"152","Carboy5","Apusomonas_proboscidea",17616
"153","blankMQ191118","Apusomonas_proboscidea",14994
"154","Barrow_S1IC4","Apusomonas_proboscidea",9001
"155","iceslush","Apusomonas_proboscidea",78
"156","Barrow_S2C2","Apusomonas_proboscidea",2567
"157","Carboy3","Apusomonas_proboscidea",24024
"158","B23","Apusomonas_proboscidea",6819
"159","B33","Apusomonas_proboscidea",3287
"160","CTDSW","Apusomonas_proboscidea",17362
"161","Carboy9","Apusomonas_proboscidea",22824
"162","B43","Apusomonas_proboscidea",4012
"163","core_1","Amastigomonas_mutabilis",73
"164","B51","Amastigomonas_mutabilis",291
"165","B12","Amastigomonas_mutabilis",506
"166","B11","Amastigomonas_mutabilis",514
"167","core_2","Amastigomonas_mutabilis",491
"168","B52","Amastigomonas_mutabilis",342
"169","dockslush_3","Amastigomonas_mutabilis",522
"170","B14","Amastigomonas_mutabilis",562
"171","blank771","Amastigomonas_mutabilis",81
"172","core_4","Amastigomonas_mutabilis",351
"173","mock_3","Amastigomonas_mutabilis",0
"174","hero_13","Amastigomonas_mutabilis",0
"175","Carboy4","Amastigomonas_mutabilis",747
"176","Carboy7","Amastigomonas_mutabilis",148
"177","Barrow_S2C3","Amastigomonas_mutabilis",115
"178","Carboy2","Amastigomonas_mutabilis",0
"179","Barrow_S1IC6","Amastigomonas_mutabilis",284
"180","B22","Amastigomonas_mutabilis",300
"181","Barrow_S2C1D","Amastigomonas_mutabilis",341
"182","Barrow_S1IC5","Amastigomonas_mutabilis",205
"183","Carboy1","Amastigomonas_mutabilis",0
"184","B21","Amastigomonas_mutabilis",596
"185","B32","Amastigomonas_mutabilis",455
"186","Carboy8","Amastigomonas_mutabilis",0
"187","B31","Amastigomonas_mutabilis",463
"188","B42","Amastigomonas_mutabilis",461
"189","blankMQ121118","Amastigomonas_mutabilis",98
"190","Barrow_blank1","Amastigomonas_mutabilis",0
"191","B41","Amastigomonas_mutabilis",332
"192","Barrow_blank2","Amastigomonas_mutabilis",0
"193","blankdry2","Amastigomonas_mutabilis",0
"194","blankFiltSW1","Amastigomonas_mutabilis",0
"195","core_3","Amastigomonas_mutabilis",145
"196","B53","Amastigomonas_mutabilis",320
"197","dockslush_2","Amastigomonas_mutabilis",0
"198","B13","Amastigomonas_mutabilis",526
"199","dockslush_1","Amastigomonas_mutabilis",376
"200","mock_1","Amastigomonas_mutabilis",0
"201","core_6","Amastigomonas_mutabilis",0
"202","mock_2","Amastigomonas_mutabilis",0
"203","hero_11","Amastigomonas_mutabilis",622
"204","hero_12","Amastigomonas_mutabilis",0
"205","Carboy6","Amastigomonas_mutabilis",0
"206","Carboy5","Amastigomonas_mutabilis",813
"207","blankMQ191118","Amastigomonas_mutabilis",71
"208","Barrow_S1IC4","Amastigomonas_mutabilis",70
"209","iceslush","Amastigomonas_mutabilis",0
"210","Barrow_S2C2","Amastigomonas_mutabilis",228
"211","Carboy3","Amastigomonas_mutabilis",853
"212","B23","Amastigomonas_mutabilis",366
"213","B33","Amastigomonas_mutabilis",330
"214","CTDSW","Amastigomonas_mutabilis",751
"215","Carboy9","Amastigomonas_mutabilis",91
"216","B43","Amastigomonas_mutabilis",416
"217","core_1","Amastigomonas_sp.",82
"218","B51","Amastigomonas_sp.",0
"219","B12","Amastigomonas_sp.",0
"220","B11","Amastigomonas_sp.",0
"221","core_2","Amastigomonas_sp.",126
"222","B52","Amastigomonas_sp.",16
