"","SampleID","variable","value","variable2"
"105","Barrow_S1IC4","Firmicutes_Tenericutes_748",46,"Proteobacteria"
"106","Barrow_S1IC5","Firmicutes_Tenericutes_748",187,"Proteobacteria"
"107","Barrow_S1IC6","Firmicutes_Tenericutes_748",1060,"Proteobacteria"
"108","Barrow_S2C1D","Firmicutes_Tenericutes_748",833,"Proteobacteria"
"109","Barrow_S2C2","Firmicutes_Tenericutes_748",441,"Proteobacteria"
"110","Barrow_S2C3","Firmicutes_Tenericutes_748",411,"Proteobacteria"
"111","mock_1","Firmicutes_Tenericutes_748",0,"Proteobacteria"
"112","mock_2","Firmicutes_Tenericutes_748",0,"Proteobacteria"
"113","mock_3","Firmicutes_Tenericutes_748",0,"Proteobacteria"
"114","mock_4","Firmicutes_Tenericutes_748",0,"Proteobacteria"
"115","B31","Proteobacteria_6937",470.625,"Proteobacteria"
"116","B32","Proteobacteria_6937",416.25,"Proteobacteria"
"117","B33","Proteobacteria_6937",358.125,"Proteobacteria"
"118","B41","Proteobacteria_6937",615,"Proteobacteria"
"119","B42","Proteobacteria_6937",416.75,"Proteobacteria"
"120","B43","Proteobacteria_6937",531.875,"Proteobacteria"
"121","blank771","Proteobacteria_6937",168,"Proteobacteria"
"122","blank772","Proteobacteria_6937",0,"Proteobacteria"
"123","blankdry1","Proteobacteria_6937",44.125,"Proteobacteria"
"124","blankdry2","Proteobacteria_6937",0,"Proteobacteria"
"125","blankFiltSW1","Proteobacteria_6937",0,"Proteobacteria"
"126","blankFiltSW2","Proteobacteria_6937",0,"Proteobacteria"
"127","blankMQ191118","Proteobacteria_6937",118.125,"Proteobacteria"
"128","Carboy1","Proteobacteria_6937",653.5,"Proteobacteria"
"129","Carboy2","Proteobacteria_6937",731.5,"Proteobacteria"
"130","Carboy3","Proteobacteria_6937",473,"Proteobacteria"
"131","Carboy4","Proteobacteria_6937",545.75,"Proteobacteria"
"132","Carboy5","Proteobacteria_6937",660.375,"Proteobacteria"
"133","Carboy6","Proteobacteria_6937",625.75,"Proteobacteria"
"134","Carboy7","Proteobacteria_6937",429.125,"Proteobacteria"
"135","Carboy8","Proteobacteria_6937",1603.125,"Proteobacteria"
"136","Carboy9","Proteobacteria_6937",1022.25,"Proteobacteria"
"137","core_1","Proteobacteria_6937",368,"Proteobacteria"
"138","core_2","Proteobacteria_6937",395.5,"Proteobacteria"
"139","core_3","Proteobacteria_6937",241,"Proteobacteria"
"140","core_4","Proteobacteria_6937",136.375,"Proteobacteria"
"141","core_6","Proteobacteria_6937",41.375,"Proteobacteria"
"142","CTDSW","Proteobacteria_6937",1348.625,"Proteobacteria"
"143","dockslush_1","Proteobacteria_6937",693.5,"Proteobacteria"
"144","dockslush_2","Proteobacteria_6937",33.375,"Proteobacteria"
"145","dockslush_3","Proteobacteria_6937",578.5,"Proteobacteria"
"146","Hero11","Proteobacteria_6937",551,"Proteobacteria"
"147","Hero12","Proteobacteria_6937",353.375,"Proteobacteria"
"148","Hero13","Proteobacteria_6937",128.5,"Proteobacteria"
"149","iceslush","Proteobacteria_6937",39.125,"Proteobacteria"
"150","blankMQ121118","Proteobacteria_6937",84.625,"Proteobacteria"
"151","B12","Proteobacteria_6937",834.25,"Proteobacteria"
"152","B13","Proteobacteria_6937",875.625,"Proteobacteria"
"153","B14","Proteobacteria_6937",711.875,"Proteobacteria"
"154","B21","Proteobacteria_6937",533,"Proteobacteria"
"155","B22","Proteobacteria_6937",1178.875,"Proteobacteria"
"156","B23","Proteobacteria_6937",585.75,"Proteobacteria"
"157","B51","Proteobacteria_6937",454,"Proteobacteria"
"158","B52","Proteobacteria_6937",390.5,"Proteobacteria"
"159","B53","Proteobacteria_6937",474,"Proteobacteria"
"160","Barrow_Blank1","Proteobacteria_6937",332.5,"Proteobacteria"
"161","Barrow_Blank2","Proteobacteria_6937",38.125,"Proteobacteria"
"162","Barrow_S1IC4","Proteobacteria_6937",95.625,"Proteobacteria"
"163","Barrow_S1IC5","Proteobacteria_6937",197.875,"Proteobacteria"
"164","Barrow_S1IC6","Proteobacteria_6937",671.25,"Proteobacteria"
"165","Barrow_S2C1D","Proteobacteria_6937",592.25,"Proteobacteria"
"166","Barrow_S2C2","Proteobacteria_6937",193.875,"Proteobacteria"
"167","Barrow_S2C3","Proteobacteria_6937",279.75,"Proteobacteria"
"168","mock_1","Proteobacteria_6937",0,"Proteobacteria"
"169","mock_2","Proteobacteria_6937",0,"Proteobacteria"
"170","mock_3","Proteobacteria_6937",0,"Proteobacteria"
"171","mock_4","Proteobacteria_6937",1.875,"Proteobacteria"
"172","B31","Bacteroidetes_1039",50.5,"Bacteroidetes"
"173","B32","Bacteroidetes_1039",35,"Bacteroidetes"
"174","B33","Bacteroidetes_1039",37,"Bacteroidetes"
"175","B41","Bacteroidetes_1039",51.5,"Bacteroidetes"
"176","B42","Bacteroidetes_1039",68,"Bacteroidetes"
"177","B43","Bacteroidetes_1039",48.5,"Bacteroidetes"
"178","blank771","Bacteroidetes_1039",635.5,"Bacteroidetes"
"179","blank772","Bacteroidetes_1039",0,"Bacteroidetes"
"180","blankdry1","Bacteroidetes_1039",0,"Bacteroidetes"
"181","blankdry2","Bacteroidetes_1039",0,"Bacteroidetes"
"182","blankFiltSW1","Bacteroidetes_1039",0,"Bacteroidetes"
"183","blankFiltSW2","Bacteroidetes_1039",0,"Bacteroidetes"
"184","blankMQ191118","Bacteroidetes_1039",279,"Bacteroidetes"
"185","Carboy1","Bacteroidetes_1039",326.5,"Bacteroidetes"
"186","Carboy2","Bacteroidetes_1039",462,"Bacteroidetes"
"187","Carboy3","Bacteroidetes_1039",117.5,"Bacteroidetes"
"188","Carboy4","Bacteroidetes_1039",139,"Bacteroidetes"
"189","Carboy5","Bacteroidetes_1039",138.5,"Bacteroidetes"
"190","Carboy6","Bacteroidetes_1039",325,"Bacteroidetes"
"191","Carboy7","Bacteroidetes_1039",89,"Bacteroidetes"
"192","Carboy8","Bacteroidetes_1039",540.5,"Bacteroidetes"
"193","Carboy9","Bacteroidetes_1039",185.5,"Bacteroidetes"
"194","core_1","Bacteroidetes_1039",373.5,"Bacteroidetes"
"195","core_2","Bacteroidetes_1039",177,"Bacteroidetes"
"196","core_3","Bacteroidetes_1039",247.5,"Bacteroidetes"
"197","core_4","Bacteroidetes_1039",295,"Bacteroidetes"
"198","core_6","Bacteroidetes_1039",351.5,"Bacteroidetes"
"199","CTDSW","Bacteroidetes_1039",45,"Bacteroidetes"
"200","dockslush_1","Bacteroidetes_1039",86.5,"Bacteroidetes"
"201","dockslush_2","Bacteroidetes_1039",0,"Bacteroidetes"
"202","dockslush_3","Bacteroidetes_1039",61,"Bacteroidetes"
"203","Hero11","Bacteroidetes_1039",62.5,"Bacteroidetes"
"204","Hero12","Bacteroidetes_1039",83,"Bacteroidetes"
"205","Hero13","Bacteroidetes_1039",0,"Bacteroidetes"
"206","iceslush","Bacteroidetes_1039",495.5,"Bacteroidetes"
"207","blankMQ121118","Bacteroidetes_1039",225.5,"Bacteroidetes"
"208","B12","Bacteroidetes_1039",134.5,"Bacteroidetes"
"209","B13","Bacteroidetes_1039",227.5,"Bacteroidetes"
"210","B14","Bacteroidetes_1039",84.5,"Bacteroidetes"
