"","VarA","VarB","rho.spear","p.spear","fdr.spear","rho.clr","p.clr","fdr.clr","sparcc","p.sparcc","fdr.sparcc"
"128","Pentapharsodinium_dalei.4","Thalassiosira_tumida.10",0.528433731717428,0.00953794543839524,0.0255667027615627,0.32503659724506,0.130196369643806,0.24275578814865,-0.051315302284701,0.76,1
"129","NA..12","Pentapharsodinium_dalei.4",0.436181376833314,0.0374604941159488,0.078309053399381,0.166378463328171,0.448009473641556,0.581368225859011,-0.12354511057033,1,1
"130","Pentapharsodinium_dalei.4","Stellarima_microtrias.4",0.408188961534968,0.0531596887950018,0.103802832647788,-0.126095002769654,0.56643954458479,0.681619294809791,0.0420201646101897,0.94,1
"131","Pentapharsodinium_dalei.4","Rhizosolenia_pungens.14",0.564187917530627,0.00504408066897922,0.0148891537819266,0.00996798440866833,0.963995879970357,0.975140341010477,0.0283379391376918,1,1
"132","Pentapharsodinium_dalei.4","Thalassiosira_tumida.6",0.514475104841873,0.0120150678705902,0.030921130549313,0.017946805982856,0.935222253674548,0.956809080116667,0.0301222798171215,0.96,1
"133","Corethron_inerme.19","Pentapharsodinium_dalei.4",0.21252817984908,0.330258854717247,0.440704898723995,-0.450998766628094,0.030778306738803,0.0847267994495139,0.0234584783269707,0.56,1
"134","Corethron_inerme.17","Pentapharsodinium_dalei.4",0.229263641399371,0.292665560014081,0.399682620977981,-0.322962694840854,0.132809144388911,0.246198414596493,0.00235025420119508,0.94,1
"135","Pentapharsodinium_dalei.4","Polar.centric.Mediophyceae.5",0.331517388294424,0.122269972067168,0.201318166374034,-0.215860194182685,0.322553018258957,0.464309573874527,-0.0065689685838902,0.88,1
"136","Pentapharsodinium_dalei.4","Pentapharsodinium_dalei.4",1,7.4693800584569e-166,1.94680650459781e-164,1,7.4693800584569e-166,1.94680650459781e-164,1,1,1
"137","Glaciecola.amylolytica.5","Planktoniella_sol.2",0.291501976284585,0.177157081769143,0.269252388544914,0.205533596837945,0.346790273614315,0.48606188235416,0.00117521503933868,0.88,1
"138","Planktoniella_sol.2","Polaribacter.sp..L3A8.58",0.00592885375494071,0.978580768622327,0.983397408992905,-0.120553359683794,0.583748920768871,0.696292529641545,0.0247638187750217,0.72,1
"139","Planktoniella_sol.2","Rhizosolenia_pungens.15",0.668149266752832,0.000493286876402803,0.00204839465624893,0.534717090700122,0.00856950532191541,0.0305164070329836,0.0494678080733916,0.9,1
"140","Placidiales_XX_sp.","Planktoniella_sol.2",0.749691152118378,3.8207982201627e-05,0.000221823593350678,0.710155692547204,0.000146855262309043,0.00111047960696653,0.0529537086724466,0.9,1
"141","Planktoniella_sol.2","Pseudopedinella_elastica.4",0.681986677602743,0.000338094037107819,0.00149518121103639,0.576229323249854,0.00400503996024869,0.0166876665010362,0.0640360483576402,0.98,1
"142","Planktoniella_sol.2","Porosira_pseudodelicatula.11",0.5800395256917,0.00371636587579591,0.0114673758132242,0.50098814229249,0.0148872072505642,0.0474917418800549,-0.0904116129212854,0.94,1
"143","Fragilariopsis_sublineata.15","Planktoniella_sol.2",0.800098863071624,4.58786460206516e-06,3.49076654504958e-05,0.742772446693422,4.91925628666022e-05,0.000453089394823967,-0.0631652402069956,0.9,1
"144","Planktoniella_sol.2","Thalassiosira_tumida.10",0.808994341475138,2.96686319349286e-06,2.34477897550242e-05,0.751667925096936,3.54942546412083e-05,0.000337057844461086,-0.00712547643930819,1,1
"145","NA..12","Planktoniella_sol.2",0.621596755039937,0.00154452185393007,0.00537511156552367,0.299654212588973,0.164797885775458,0.285137584851604,-0.0327700805156473,1,1
"146","Planktoniella_sol.2","Stellarima_microtrias.4",0.33399209486166,0.119337409412694,0.197819115738227,0.274703557312253,0.204605979446669,0.323827293051898,0.0867622842375808,0.9,1
"147","Planktoniella_sol.2","Rhizosolenia_pungens.14",0.420948616600791,0.0454712048028036,0.0911656724769793,0.349802371541502,0.101795945677829,0.202764282041205,-0.0722832879962713,0.94,1
"148","Planktoniella_sol.2","Thalassiosira_tumida.6",0.437361021506107,0.0368899057373341,0.0777799217353429,0.348406237470966,0.10326352119758,0.204028731398444,0.0429683379709817,0.74,1
"149","Corethron_inerme.19","Planktoniella_sol.2",0.306627251874938,0.154714354358841,0.243685639498421,0.0247280041834627,0.91082767130291,0.940847057299225,-0.010969960928067,0.84,1
