MassFeature_Column,20ppt3C_A,20ppt3C_B,20ppt3C_C,35ppt0C_A,35ppt0C_B,35ppt0C_C,50ppt-3C_A,50ppt-3C_B,50ppt-3C_C,Ev15SW_A,Ev32Core_A,Ev32Core_B,Ev32Core_C,Ev37Core_A,Ev51Slush_A,EvXCore_A,EvXSW_A,Hero1_A,Hero1_B,Hero1_C,StaB1_A,StaB1_B,StaB1_C,StaB1_D,StaB1_E,StaB2_A,StaB2_B,StaB2_C,StaB3_A,StaB3_B,StaB3_C,StaB4_A,StaB4_B,StaB4_C,StaB5_A,StaB5_B,StaB5_C
Sulfurol_X_RP,524043.3333333334,679572.5806451613,49921.66666666667,686948.3870967742,520506.4516129032,407135.89743589744,519175,103294.8275862069,408756,27.77777777777778,400,200,200,NA,500,161.29032258064515,50.25125628140704,31739.310344827587,20824.43438914027,22559.803921568626,7422.903225806452,6973.030303030303,7670.333333333333,10435.827664399092,9059.448818897637,10227.111111111111,8367.636363636364,12111.052631578948,11486.363636363636,12387.254901960785,12062.052505966585,12906.415094339623,12906.415094339623,10427.439024390245,16443.26923076923,14870.434782608696,11400.666666666666
Taurine_X_HILICNeg,215834971.329031,251184454.8300042,204013108.61796525,1217674894.0189877,963788440.517684,1041386234.7518071,674733595.9050761,624525903.8485224,771110722.1381114,101300833.3346228,835261971.9374146,286110350.26851296,270788198.67431396,NA,20862982.134775456,474839867.3779059,53118474.68681425,3163153.5730569693,7902599.933476396,9109742.190897224,187921041.80851698,166887983.62936902,212230255.56563452,122248042.9328375,154824702.81713697,340961323.769419,239461056.69830278,319572742.3205905,357149663.5136575,361870452.6153671,329206869.7520705,590162876.0259494,561155052.7472403,521349032.2935348,606526406.8296752,559650160.1678702,594462886.6328176
Thiamine monophosphate_X_HILICPos,169610,210458.06451612903,166.66666666666669,337058.06451612903,161.29032258064515,147508.97435897434,227.27272727272728,172.41379310344828,200,27.77777777777778,400,200,200,NA,500,161.29032258064515,50.25125628140704,137.93103448275863,90.49773755656109,98.0392156862745,32.25806451612903,30.303030303030305,33.333333333333336,45.35147392290249,39.37007874015748,44.44444444444444,36.36363636363637,52.631578947368425,45.45454545454545,49.01960784313725,47.732696897374694,75.47169811320755,75.47169811320755,60.97560975609756,96.15384615384615,86.95652173913044,66.66666666666667
Threonic acid_X_HILICNeg,1052454746.8393922,784290781.7452384,611043203.0097708,1767748812.8260763,1121446204.112287,1483327252.820412,334329979.1023084,351477348.23940873,397328299.4018048,41890576.38034205,1200814424.5151398,337073271.1875076,316240743.6285631,NA,1009508300.1651434,317658900.74617356,20822860.428947322,9382528.446619244,23751240.500147026,22958378.275560915,163548859.99996036,99439626.48499861,121428016.33772801,84121263.99630152,93322443.02431437,339819274.4175663,199405250.62559655,323685667.38181967,450076773.6266396,342936172.3495474,478193626.2066664,977925372.8682063,947317562.993721,977982062.9485419,622965401.0072343,687739701.8939316,865599668.8781608
Threonine_X_HILICPos,473509773.7766121,334067630.06818646,303832797.53962755,600583653.3606651,537123612.219314,857353543.7007022,96296132.93438141,116223783.19595619,154445218.8164388,13443149.105462503,350337835.9656494,68636898.940384835,63306838.063147545,NA,121940647.98568137,117814046.74494022,6397192.183716852,7180893.463208993,7617494.437296624,7008100.161165979,27093819.86684404,21825482.991589714,19824192.182716284,9593818.219843121,18415201.17746505,55575065.37711812,30192009.886246905,56387909.658613145,55462574.90291468,66283738.17747501,84377727.11795636,94522804.63458158,95525343.83222882,96924590.35033007,50452277.34161359,73137325.1876081,94004733.62520276
trans Hydroxyl proline_X_HILICPos,15129552.638749987,22125903.81133876,20217486.655156437,34146368.570872135,26226067.200382996,32875588.806930732,13417517.865119504,12429972.599556599,13775191.42765714,1453998.5382308052,37652598.51901693,14393732.326632895,3715203.9223146546,NA,398101331.4935855,11385163.072167931,1008951.2162253503,2557248.896592757,1427712.9729991101,1148085.3776977095,2067786.2392756941,1677711.1394974787,2914560.0075198323,1450649.538060558,1853751.3823620765,2937791.277849648,2019296.1617724663,3916762.632179588,3991563.287257353,3933671.1541514783,5031263.288750971,7739276.003581724,10315893.37382012,8675617.5282213,11201069.787624145,10041602.351402791,15259520.952168984
Trigonelline_X_HILICPos,1024569706.6666667,1141506890.3225806,954710933.3333334,1346382348.387097,1077832051.612903,1432469333.3333333,69868311.36363636,53003546.55172414,61484114,8873286.944444444,1997263232,731452416,605290752,NA,297126320,672537135.483871,16052177.386934673,46787248.27586207,30697515.837104075,33255642.156862743,10942179.032258064,10279016.666666668,75138037.33333333,15383562.358276643,68313814.17322834,117541546.66666667,99238446.54545455,143376926.3157895,6740549.090909091,7269219.607843137,7078380.9069212405,273130191.6981132,272371079.245283,262469951.21951222,318661969.2307692,352866671.3043479,335660778.6666667
Trimethyl-L-lysine_X_HILICPos,12446267.650771422,12991387.642971927,10596296.879070807,15143814.786942827,11907726.907568933,11255245.316460935,4946739.4047630355,4995723.829801815,8827009.269273793,1827823.02349976,72535519.43132381,24763254.501035575,19454997.856700324,NA,50983901.12247272,28029826.077591766,1074164.335658581,1099783.4889720161,3844118.729634482,2196806.632379754,1895068.7793688613,1421302.1015257933,1541882.7038902054,1485899.1091577474,995893.2156698162,1798041.513413316,1424752.271184961,2132797.3016914004,2888137.4395320825,1465751.8964029173,3219067.9368993794,3290475.2888343674,4491761.651709891,2930309.2306647548,3618987.1111739622,5476439.271822232,5277300.5922003
Trimethylamine N-oxide_X_HILICPos,81516773.33333334,78351864.51612903,74753213.33333334,160514593.5483871,114518593.5483871,164188307.69230768,41971795.45454545,32630700.000000004,50681380,131681555.55555555,399856512,299279808,106357696,NA,192245560,160261664.51612905,33445435.175879396,15249798.620689655,26736600.904977378,31048841.17647059,121385156.12903225,118288678.7878788,177811786.66666666,84168809.07029478,188484359.0551181,63767402.666666664,28947287.272727273,58540404.21052632,87610341.81818181,56801882.35294118,71871427.20763722,81381415.8490566,63772667.16981132,79004970.73170732,57517980.76923077,66174803.478260875,50239370.666666664
Trimethylammonium Propionate (TMAP)_X_HILICPos,606729066.6666667,596142400,778060106.6666667,900109625.8064517,768334296.7741935,798071794.8717948,557390872.7272727,395620689.65517247,636660416,290814773.3333333,5768270336,2385331712,1137832448,NA,1305571520,3638896722.580645,162544048.24120602,15313337.931034483,139342653.39366516,177942760.7843137,273827943.2258064,196175961.21212122,307911808,181217814.05895692,221621366.92913386,316956330.6666667,210417710.54545453,403035621.0526316,506849570.9090909,350977411.7647059,447593729.8329355,511421778.1132076,446569587.9245283,422432780.4878049,489599692.3076923,460674309.56521744,465108650.6666667
