MassFeature_Column,20ppt3C_A,20ppt3C_B,20ppt3C_C,35ppt0C_A,35ppt0C_B,35ppt0C_C,50ppt-3C_A,50ppt-3C_B,50ppt-3C_C,Ev15SW_A,Ev32Core_A,Ev32Core_B,Ev32Core_C,Ev37Core_A,Ev51Slush_A,EvXCore_A,EvXSW_A,Hero1_A,Hero1_B,Hero1_C,StaB1_A,StaB1_B,StaB1_C,StaB1_D,StaB1_E,StaB2_A,StaB2_B,StaB2_C,StaB3_A,StaB3_B,StaB3_C,StaB4_A,StaB4_B,StaB4_C,StaB5_A,StaB5_B,StaB5_C
(3-Carboxypropyl)trimethylammonium (TMAB)_X_HILICPos,30759797.217947856,33573940.50601172,26163824.623313162,34062526.932369106,30175145.839947656,35088159.297460586,20837627.252810303,18194824.53716335,33472136.213138774,10457062.065443283,822080957.9034828,190137631.28353631,83513218.08465886,NA,813084332.1288452,223897564.072787,4473288.43633941,7826280.711220289,13839160.711746851,14491783.096174922,12287716.447610145,9559842.904331014,15188731.12753115,7789134.878639392,9141180.197332652,18761649.45197282,11901915.676284911,16781016.498649187,18497506.011577006,14914875.995324092,17867024.847942498,23074963.555498794,20617382.469167143,24978570.27252622,24863735.082210004,37408902.4502911,24867879.228880424
3OC12-HSL_X_RP,327441.6666666667,270166.12903225806,689921.6666666667,580290.3225806452,665345.1612903225,175819.23076923075,152147.72727272726,152779.3103448276,166530,1511.111111111111,265472,130204,10880,NA,3171880,77779.03225806452,2733.668341708543,8844.137931034484,5802.714932126697,6286.274509803921,25592.25806451613,14101.818181818182,26239,2907.936507936508,2524.4094488188975,2849.777777777778,24844.363636363636,45796.84210526316,57937.27272727272,2594.607843137255,22604.29594272076,32378.867924528302,85951.69811320755,42835.9756097561,4541.346153846153,4106.956521739131,3148.6666666666665
3OC8-HSL_X_RP,96652.92582287414,115375.67018366033,773804.9880022438,352174.49198301946,190603.08256944438,76765.67500743963,182.8838910253905,183.640652447737,181.46438719821575,26.44537229715713,402582.6787884983,161083.66719586335,286931.12790671055,NA,457.40287767292875,199.21004432892133,45.1645170778027,27491.53789418171,21932.79960626013,19641.964629896866,10094.389774298685,8750.600387141969,10296.13251664475,11572.862213302367,11006.884628305394,14600.61661880151,10856.855331688492,18571.54268256932,4870.386102583639,5231.702036283204,7579.340613371933,70.21644313438412,97.43204383761157,63.923977937691035,53521.46475187618,74998.79193208172,81422.56182375218
3OHC12-HSL_X_RP,277721.6666666667,268762.9032258064,277721.6666666667,538288.7096774194,833291.935483871,381291.0256410256,491163.63636363635,372606.8965517242,432224,49761.11111111111,716560,358280,358280,NA,3586500,791411.2903225806,90020.10050251256,377831.7241379311,247898.64253393665,268556.862745098,88363.87096774194,83008.48484848485,91309.33333333333,124230.38548752834,107845.66929133858,121745.77777777778,99610.18181818182,144172.6315789474,134215,144741.66666666666,140941.76610978518,205003.77358490566,205003.77358490566,165628.04878048782,261182.6923076923,236200.00000000003,181086.66666666666
4-Hydroxyisoleucine_X_HILICPos,6832042.94197742,6901498.833645114,6469060.837376901,26685626.34171527,23819036.888607733,27614069.03643358,20527192.61600039,25842401.011065513,40546094.32664285,3407734.243755813,181123151.0276608,24179164.419783767,21975558.971212495,NA,84880838.57029393,111242737.45486604,5294777.310076544,17864216.490982223,10950014.53081771,11984205.301543185,4038796.2785669477,4283353.249701526,3901093.007396933,5315139.823156032,4552882.710651423,6908996.417250204,3915916.7402729834,6412650.543967203,5449745.469559775,5759049.050987019,5458034.185727824,19887357.620102994,16134205.717780888,20268952.391240925,15691743.361740483,15097392.755343283,8497975.192963034
6-Methyladenine_X_HILICPos,1280231.827394972,1475133.7718872263,1558943.069608836,3430537.3077017316,4332574.399051108,2736408.4850732586,2430751.79779936,2518703.274161978,706311.5130647614,186670.51053188727,3268138.3936797483,1364236.4803955967,4362935.2385717,NA,3236677.743847221,5713216.180516637,320516.00531511527,643408.5065585079,448880.7957730104,386299.09965676826,181250.98161878504,811176.4324591833,365843.8203010387,255851.6439973474,186856.54317690455,693674.9357373167,541370.9460812901,394699.7660974227,587485.3387649447,697579.4838094839,742967.0210452033,1614450.086188084,693567.5707032044,1033925.5983787185,806316.2312846466,1705142.3464021976,1165598.196044578
7-dehydrocholesterol_X_RP,281568.3333333334,111301.6129032258,166.66666666666669,287158.06451612903,179190.32258064515,3589.74358974359,227.27272727272728,172.41379310344828,200,27.77777777777778,400,200,200,NA,500,68453.2258064516,50.25125628140704,9791.724137931034,6424.434389140271,6959.803921568628,2290,2151.2121212121215,2366.3333333333335,3219.501133786848,2794.8818897637793,3155.1111111111113,2581.4545454545455,3736.315789473684,9035.90909090909,9744.607843137255,9488.782816229115,11423.396226415094,11423.396226415094,9229.268292682927,14553.846153846152,13161.739130434784,10090.666666666666
Acetyl-L-carnitine_X_HILICPos,286645733.3333334,324907509.67741936,275611680,223335767.7419355,134953277.41935483,195928389.74358973,44517377.27272727,38178955.172413796,67347296,31155786.666666664,806564416,267895504,160036880,NA,1328949280,294351225.8064516,11914167.83919598,15660142.068965517,30341534.84162896,28674615.68627451,17578905.80645161,12192850.90909091,19179769.333333332,12938207.709750567,18824272.44094488,25804924.444444444,18624103.272727273,30458364.210526317,30258274.545454543,28297770.588235293,29508024.821002383,56970384.905660376,57100425.66037736,48746190.243902445,45225930.76923077,48110024.34782609,55726954.666666664
Acetylglutamic acid_X_HILICNeg,1641951.6793305096,1974852.8440941286,2576340.458151984,28969443.8884713,30468749.65404412,43096457.89881566,3101114.803041401,2721294.106866446,2524838.6121100197,565511.8268352164,9023341.377299376,4077001.649331372,3810319.4281076756,NA,11352649.643764956,22026866.199854385,1065323.0477891776,4495137.633250412,2407859.6708313087,2048057.630199825,3827652.0059739053,3130545.4183837147,5855809.616280958,2327413.459213278,1065936.4383187736,8938599.190507082,4723098.4127496565,7867724.536753062,7947424.169456069,9731673.434430998,11529550.357272433,14230501.139656529,13358552.090529185,16482482.197586546,11802056.406853976,10828165.515788522,12987266.69045416
Aconitic Acid_X_HILICNeg,2960333.3333333335,5254640.322580645,1298961.6666666667,7133745.161290322,2498793.5483870967,4275569.230769231,971456.8181818182,1507015.5172413795,1428956,244474.44444444444,11431344,3386390,2715254,NA,7397450,3918304.8387096776,246769.34673366835,597435.8620689656,391982.80542986427,424648.03921568627,732628.3870967742,131254.84848484848,303499.3333333333,426864.85260770976,170527.9527559055,192507.11111111112,157505.81818181818,227968.94736842107,1144075.909090909,421813.23529411765,732684.9642004772,442993.2075471698,442993.2075471698,357906.09756097564,564390.3846153846,510405.2173913044,391310.6666666667
Adenine_X_HILICPos,791148781.6589333,541149935.0154594,468895997.4823951,627075519.9895701,1024373812.8064247,684015728.0938009,265362648.94578725,258944659.13509893,381283708.4367435,32665585.61891315,6093145783.41047,1489549405.6106813,1071390276.0510828,NA,1956580700.8480573,1331639822.7152262,43045776.052173965,260177941.7079031,224150786.45336577,257106233.31013379,47427652.77582145,115242777.72852103,62234790.39551576,68017896.70623417,52645490.98983866,131718911.09560686,58432465.84669176,69151603.8039668,87771969.83934477,134566399.80881697,85707380.35327895,144450619.9891259,94534477.98602429,93442027.00899513,503590550.57296586,291228585.96700346,186020551.52547517
Adenosine_X_HILICPos,1430923306.6666667,1508563716.1290324,1009605333.3333334,631773316.1290323,655998658.0645162,461029948.7179487,631343272.7272727,612752551.724138,687870528,56700044.44444444,6958404608,1485898368,799960000,NA,665138720,2387753909.677419,129708928.64321609,47622560,54917849.773755655,62159756.8627451,18422323.870967742,27203200,30429786.666666668,30807742.40362812,26453760.62992126,66581120,48761041.45454545,62479587.368421055,61027963.63636363,91417764.70588236,83882058.2338902,152827701.1320755,116724021.13207547,111435014.63414635,167355584.6153846,92066726.95652175,96500928
