,VarA,VarB,rho.spear,p.spear,fdr.spear,rho.clr,p.clr,fdr.clr,sparcc,p.sparcc,fdr.sparcc
155,Amoebophilaceae.6,Pentapharsodinium_dalei.8,-0.070235593,0.702478142,0.792395344,-0.049783849,0.786711641,0.843546322,0.103861098,NA,NA
992,Amoebophilaceae.6,Glaciecola.amylolytica.5,-0.303277829,0.091536936,0.164155269,-0.047361932,0.796866567,0.85072719,-0.078283629,0.94,1
173,Amoebophilaceae.6,Dinoflagellata.6,-0.281480576,0.118596937,0.202692946,-0.038212468,0.835511813,0.884936456,0.050968411,0.88,1
38,Amoebophilaceae.6,Thalassiosira_tumida.6,-0.159472101,0.383307847,0.502173346,-0.036739142,0.841772686,0.889896523,-0.15048629,NA,NA
138,Amoebophilaceae.6,Candidatus.Thioglobus.sp..NP1.1,-0.037405163,0.838941245,0.891918684,0.035790551,0.845808762,0.89165634,-0.037293863,1,1
327,Amoebophilaceae.6,Paraglaciecola.psychrophila.170.3,0.277444048,0.1242007,0.209931333,-0.025026476,0.891853168,0.928910779,-0.050511727,0.92,1
948,Amoebophilaceae.6,NA..164,-0.08568096,0.641029322,0.73646097,NA,NA,NA,-0.024523289,0.8,1
253,Aureococcus_anophagefferens.4,Aureococcus_anophagefferens.4,1,0,0,1,0,0,1,1,1
245,Aureococcus_anophagefferens.4,Pseudohongiella.spirulinae.2,0.792774673,6.35E-08,6.69E-07,0.818815386,1.02E-08,9.43E-08,-0.014966661,0.98,1
247,Aureococcus_anophagefferens.4,Candidatus.Pelagibacter.sp..FZCC0015.3,0.836846929,2.41E-09,3.35E-08,0.817598533,1.12E-08,1.03E-07,0.03301466,0.92,1
246,Aureococcus_anophagefferens.4,Candidatus.Pelagibacter.6,0.742385634,1.15E-06,9.46E-06,0.813027865,1.57E-08,1.39E-07,0.004689325,0.9,1
252,Aureococcus_anophagefferens.4,MAST.1C_XX_sp..5,0.887258352,1.34E-11,2.60E-10,0.804513622,2.88E-08,2.46E-07,-0.024663582,0.86,1
248,Aureococcus_anophagefferens.4,Candidatus.Thioglobus.sp..NP1.1,0.809641649,2.00E-08,2.46E-07,0.789845114,7.67E-08,6.27E-07,-0.042223298,0.88,1
1057,Aureococcus_anophagefferens.4,Chaetoceros_neogracilis.2,-0.527184397,0.001933419,0.006710451,-0.77143122,2.36E-07,1.85E-06,-0.03071354,0.78,1
251,Aureococcus_anophagefferens.4,Strombidiidae_M_X_sp..8,0.779743355,1.44E-07,1.41E-06,0.736663611,1.53E-06,1.13E-05,0.096684736,NA,NA
234,Aureococcus_anophagefferens.4,NA..12,0.611136801,0.000202807,0.000959133,0.709659906,5.41E-06,3.59E-05,-0.003539802,0.96,1
518,Aureococcus_anophagefferens.4,Polaribacter.sp..L3A8.45,-0.656401799,4.51E-05,0.000248278,-0.689029423,1.30E-05,7.95E-05,-0.029826668,0.7,1
244,Aureococcus_anophagefferens.4,Planktomarina.temperata.RCA23.7,0.613211267,0.000190261,0.000929064,0.686422307,1.44E-05,8.58E-05,0.018020204,0.88,1
235,Aureococcus_anophagefferens.4,Placidiales_XX_sp.,0.710944192,5.11E-06,3.75E-05,0.680855199,1.80E-05,0.000104039,-0.115679021,NA,NA
487,Aureococcus_anophagefferens.4,Polaribacter.sp..L3A8.14,-0.676015034,2.17E-05,0.000131037,-0.677848046,2.02E-05,0.00011644,0.03163029,0.98,1
457,Aureococcus_anophagefferens.4,Polaribacter.sp..L3A8.26,-0.735331879,1.64E-06,1.30E-05,-0.662357914,3.63E-05,0.000200949,-0.011821099,0.96,1
275,Aureococcus_anophagefferens.4,Fragilariopsis_sublineata.15,0.467461045,0.006983314,0.019841759,0.597616865,0.000304227,0.001294974,0.04239541,1,1
240,Aureococcus_anophagefferens.4,Thalassiosira_tumida.6,0.540104503,0.001418856,0.005146203,0.586488223,0.00041916,0.001731915,0.073301289,0.98,1
925,Aureococcus_anophagefferens.4,MAST.1A_XX_sp..9,0.54422143,0.001282287,0.004742359,0.557602422,0.000914517,0.003316964,-0.043627342,0.94,1
400,Aureococcus_anophagefferens.4,Sulfitobacter.sp..SK011.3,-0.478781248,0.005568925,0.016358716,-0.556679655,0.000936511,0.003375029,0.004771668,0.96,1
1103,Aureococcus_anophagefferens.4,Polaribacter.sp..L3A8.58,-0.484648522,0.004937762,0.014813285,-0.547704154,0.001175883,0.00410649,-0.063627367,0.98,1
236,Aureococcus_anophagefferens.4,Thalassiosira_tumida.10,0.704030656,6.92E-06,4.76E-05,0.544044586,0.001287908,0.004429146,0.035333943,0.9,1
239,Aureococcus_anophagefferens.4,Porosira_pseudodelicatula.11,0.463568877,0.007535513,0.021144425,0.522958484,0.002133761,0.006720797,-0.024101286,0.96,1
238,Aureococcus_anophagefferens.4,Polar.centric.Mediophyceae.5,0.399450046,0.023515968,0.054134719,0.491842346,0.004248481,0.012257255,0.005471115,0.86,1
243,Aureococcus_anophagefferens.4,Marinomonas.10,0.555270394,0.000970996,0.003789907,0.482493126,0.005162097,0.014341983,-0.07376007,0.84,1
250,Aureococcus_anophagefferens.4,Dinoflagellata.6,0.461185961,0.00789158,0.022033915,0.468151409,0.00688906,0.018241454,0.048831865,0.78,1
428,Aureococcus_anophagefferens.4,Sulfitobacter.sp..SK011.5,-0.411835222,0.019180025,0.045740103,-0.455690605,0.008767565,0.022425881,0.016760983,0.94,1
298,Aureococcus_anophagefferens.4,Phaeocystis_antarctica.4,0.479882689,0.005445438,0.016079722,0.450187886,0.009725932,0.024271796,-0.024235652,0.78,1
373,Aureococcus_anophagefferens.4,Polaribacter.sp..L3A8.19,-0.469434518,0.006716756,0.019229698,-0.450004584,0.009759322,0.024301359,-0.006372041,0.88,1
883,Aureococcus_anophagefferens.4,Planktoniella_sol.2,0.444505547,0.010807059,0.028349681,0.449821283,0.009792809,0.024331033,0.023569726,0.86,1
242,Aureococcus_anophagefferens.4,Pentapharsodinium_dalei.4,0.451242986,0.009535608,0.025856168,0.437117455,0.012362706,0.02942011,-0.046885821,0.92,1
237,Aureococcus_anophagefferens.4,Corethron_inerme.17,0.438273304,0.012107596,0.031468591,0.425442216,0.015202531,0.035068415,0.108807923,NA,NA
241,Aureococcus_anophagefferens.4,Stellarima_microtrias.4,0.383282927,0.030359134,0.06535325,0.376684082,0.033582558,0.069000229,-0.035214277,0.98,1
249,Aureococcus_anophagefferens.4,Pentapharsodinium_dalei.8,0.327742646,0.067073853,0.127357641,0.361103475,0.042302588,0.083131218,0.017103412,1,1
802,Aureococcus_anophagefferens.4,Fragilariopsis_sublineata.23,-0.305929797,0.08859651,0.16001003,-0.360920174,0.042415052,0.083207267,-0.032571767,0.92,1
322,Aureococcus_anophagefferens.4,Octadecabacter,-0.21613941,0.234781572,0.342604933,-0.290657457,0.106559733,0.179670222,0.008474281,0.96,1
763,Aureococcus_anophagefferens.4,NA..6,-0.282676444,0.116973451,0.201652851,-0.288175985,0.109719915,0.183899055,-0.05131621,0.78,1
347,Aureococcus_anophagefferens.4,Paraglaciecola.psychrophila.170.3,-0.28448355,0.114551657,0.197877901,-0.263953809,0.144351862,0.228051681,-0.012997078,0.9,1
