MassFeature_Column,Identification,nmoperumolClEnviromed,nmolperumolCEnviromin,nmolperumolCEnviromax,nmolCmed,nmolCmin,nmolCmax,molFractionmed,molFractionmin,molFractionmax
Proline_X_HILICPos,Proline,0.7571594897096423,0.03668393697132221,2.5203638522862346,3.7857974485482115,0.18341968485661106,12.601819261431173,0.12001904695418655,0.008112607810509266,0.28996904686480945
Glucosylglycerol_X_HILICPos,Glucosylglycerol,0.30475492589822134,0.036532379781269685,0.8468470981958118,2.742794333083992,0.32879141803142714,7.6216238837623065,0.09715682985163661,0.03025897005118354,0.21179051377916475
Alanine_X_HILICPos,Alanine,0.8395499430186861,0.04607069667196419,2.0824067968652735,2.5186498290560584,0.13821209001589257,6.247220390595821,0.07264072561004027,0.012719783008760376,0.13712094420974588
Glutamic acid_X_HILICPos,Glutamic acid,0.4467001503575051,0.10061220766083433,0.7724658243676014,2.2335007517875254,0.5030610383041716,3.8623291218380067,0.06865791031428754,0.03397785530475345,0.11020749547870308
Glutamine_X_HILICPos,Glutamine,0.44668563057772115,0.06399023356415016,1.4365586396777794,2.2334281528886057,0.31995116782075084,7.182793198388897,0.06474326990508235,0.029445393869750924,0.15722292368136528
Glycerophosphocholine_X_HILICPos,Glycerophosphocholine,0.15280754655377057,0.0035646564921210013,0.22501104451868492,1.2224603724301646,0.02851725193696801,1.8000883561494794,0.039720981935129136,0.0026244683558628995,0.05279054890466689
Taurine_X_HILICNeg,Taurine,0.5033431772830108,0.010406104919226215,1.127268620025478,1.0066863545660216,0.02081220983845243,2.254537240050956,0.03476526119581541,0.0019153663984638584,0.05393788158579266
N-Acetyl-Serine_X_HILICPos,N-Acetyl-Serine,0.2027576078454218,0.052120662181964726,0.5369683002317696,1.013788039227109,0.26060331090982364,2.684841501158848,0.029998257865537312,0.0064597445326157535,0.2470883791984344
Aspartic acid_X_HILICPos,Aspartic acid,0.19283872421314646,0.09025272189152639,0.31181509585489886,0.7713548968525858,0.36101088756610555,1.2472603834195954,0.023842237709488973,0.010560945087906963,0.05677237947691052
DHPS_X_HILICNeg,DHPS,0.18491161295696346,0.06556835505686807,0.352098318500702,0.5547348388708904,0.1967050651706042,1.056294955502106,0.020843802863855322,0.007649897314914459,0.030910842221934253
Isethionic Acid_X_HILICNeg,Isethionic Acid,0.3365648065671656,0.013751284986031686,0.7607921876222564,0.6731296131343312,0.027502569972063372,1.5215843752445128,0.020694774226919274,0.002531086261611915,0.04599433596709977
Threonic acid_X_HILICNeg,Threonic acid,0.125651723831412,0.007343052929933403,0.2814445983866787,0.502606895325648,0.029372211719733612,1.1257783935467147,0.01546886935972193,0.002703151073972038,0.031457937527811224
Arginine_X_HILICPos,Arginine,0.09127921466892946,0.013582816588597819,0.27437591460342187,0.5476752880135768,0.08149689953158691,1.646255487620531,0.015218860495027398,0.0030876730777235164,0.10892964401951552
Phenylalanine_X_RP,Phenylalanine,0.05050324168461292,0.005956892911106056,0.09378613534702877,0.45452917516151625,0.053612036199954506,0.8440752181232589,0.014508474974145856,0.00493396393211921,0.019559684638639847
Hypotaurine_X_HILICPos,Hypotaurine,0.22941552558363204,0.051080540416438176,0.7512734723645081,0.4588310511672641,0.10216108083287635,1.5025469447290163,0.014476783114971808,0.003914634336211624,0.04051189006793427
Homoserine_X_HILICPos,Homoserine,0.09950193060808628,0.02035121676118588,0.16851135388326985,0.3980077224323451,0.08140486704474352,0.6740454155330794,0.013284973670276867,0.005566558494377059,0.01781406596416055
beta-Alanine_X_HILICPos,beta-Alanine,0.11509866524539476,0.00918483158055367,0.32216175675868464,0.3452959957361843,0.02755449474166101,0.9664852702760539,0.012250422150796341,0.0020151601944465645,0.028482079769205713
Betaine_X_HILICPos,Betaine,0.07274994981607952,0.027199046424740848,0.25660146684448515,0.3637497490803976,0.13599523212370423,1.2830073342224257,0.012148804728723107,0.006284600708797823,0.03198398308369739
Asparagine_X_HILICPos,Asparagine,0.09189571756221125,0.014154409818890486,0.35172991687122346,0.367582870248845,0.056617639275561946,1.4069196674848938,0.011555837017203186,0.0036257432839393714,0.030880638295264468
glycerol 3 phosphate_X_HILICNeg,glycerol 3 phosphate,0.13430157924303252,6.759707014859931e-4,0.2992840171866445,0.4029047377290975,0.0020279121044579794,0.8978520515599335,0.011440094593828701,9.573438168736824e-5,0.03420811180436968
Cys-Gly_X_HILICPos,Cys-Gly,0.0512904390947563,0.006327814483477995,0.16076182426836538,0.2564521954737815,0.031639072417389974,0.8038091213418269,0.01114085153620562,8.099937318961119e-4,0.02494365038310077
Homarine_X_HILICPos,Homarine,0.047778572764728085,0.013040493228356952,0.13191196354666918,0.3344500093530966,0.09128345259849865,0.9233837448266842,0.010970206986111088,0.004449972772023267,0.02021178781453186
Threonine_X_HILICPos,Threonine,0.08682954166567068,0.019011663190390115,0.26820438455377027,0.3473181666626827,0.07604665276156046,1.072817538215081,0.010551917717036329,0.0048699600344394725,0.02354739301758442
Glucose 6 phosphate_X_HILICNeg,Glucose 6 phosphate,0.03766504651316199,8.296665664638785e-5,0.18911331149904895,0.22599027907897196,4.977999398783271e-4,1.1346798689942936,0.009948912610305732,1.5504239684972224e-5,0.02868014279766501
Fructose 6 phosphate_X_HILICNeg,Fructose 6 phosphate,0.05412323198796797,0.005359612975483337,0.12882970753148396,0.3247393919278078,0.032157677852900024,0.7729782451889038,0.009726233982288016,0.002959500028597162,0.03086339156043368
